timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50155.000,48.00,-22.412,-7.471,50154.000,54.00,0
51,-7231.529,-4019.176,50000.000,48.00,-7425.764,-2114.176,49999.000,48.00,0
101,-7941.235,-2734.235,50000.000,45.00,-7866.529,-3309.470,50000.000,19.00,0
151,-6947.646,-5281.706,50000.000,47.00,-8523.940,-8075.706,50000.000,72.00,0
201,-5685.117,-8419.353,50000.000,44.00,-8232.588,-10750.176,50001.000,70.00,0
251,-5924.176,-8254.999,50000.000,51.00,-7941.235,-11631.705,50000.000,81.00,0
301,-6559.176,-5692.588,50000.000,33.00,-8202.705,-10189.882,49999.000,66.00,0
351,-6955.117,-2943.412,50000.000,59.00,-7739.529,-8314.764,50000.000,80.00,0
401,-7642.411,-2853.764,50000.000,68.00,-8837.705,-7261.411,50001.000,57.00,0
451,-7918.823,-3473.823,50000.000,68.00,-8837.705,-6716.059,49999.000,58.00,0
501,-7575.176,-5065.059,50000.000,51.00,-9129.059,-6745.941,50000.000,60.00,0
551,-7425.764,-4497.294,50000.000,73.00,-8583.705,-6081.059,50001.000,72.00,0
601,-6604.000,-2883.647,50000.000,56.00,-7941.235,-6828.117,49999.000,47.00,0
651,-7104.529,-164.353,50000.000,54.00,-7642.411,-5199.529,50000.000,68.00,0
701,-6992.470,2465.294,50000.000,83.00,-7067.176,-3877.235,50000.000,73.00,0
751,-5737.411,2510.117,50000.000,80.00,-5080.000,-2121.647,50000.000,64.00,0
801,-3675.529,156.882,50000.000,73.00,-3944.470,-3488.764,50000.000,50.00,0
851,-1524.000,-2696.882,50000.000,63.00,-3257.176,-7298.764,50000.000,38.00,0
901,-44.824,-4579.470,50000.000,71.00,-3048.000,-10047.940,50000.000,62.00,0
951,1030.941,-3862.294,50000.000,46.00,-2218.765,-9995.646,50001.000,77.00,0
1001,545.353,933.823,50000.000,62.00,-1464.235,-8807.823,49999.000,75.00,0
1051,799.353,1979.706,50000.000,83.00,-971.176,-9883.588,50001.000,64.00,0
1101,2069.353,-3414.059,50000.000,44.00,-1718.235,-12498.293,50000.000,84.00,0
1151,2457.823,-5065.059,50000.000,66.00,-1688.353,-14418.234,49999.000,49.00,0
1201,2935.941,-1740.647,50000.000,42.00,-67.235,-10929.470,50000.000,54.00,0
1251,3227.294,4938.059,50000.000,62.00,2622.176,-3391.647,50000.000,86.00,0
1301,4915.646,8083.176,50000.000,92.00,5289.176,-2622.176,50000.000,56.00,0
1351,7918.823,4258.235,50000.000,62.00,6028.764,-5221.941,50000.000,35.00,0
1401,8508.999,112.059,50000.000,79.00,5849.470,-7545.293,50000.000,51.00,0
1451,9188.823,-2487.706,50000.000,57.00,5677.646,-8030.882,50001.000,52.00,0
1501,6178.176,-2517.588,50000.000,56.00,4131.235,-5871.882,49999.000,79.00,0
1551,5020.235,-2487.706,50000.000,59.00,2756.647,-7455.646,50000.000,47.00,0
1601,4773.706,-2734.235,50000.000,44.00,1038.412,-9136.528,50000.000,51.00,0
1651,3160.059,455.706,50000.000,98.00,1598.706,-6320.117,50000.000,51.00,0
1701,2472.765,-2203.823,50000.000,73.00,971.176,-6656.293,50000.000,52.00,0
1751,2271.059,-6439.646,50000.000,52.00,-1621.118,-9039.411,50000.000,36.00,0
1801,530.412,-5610.412,50000.000,78.00,-1875.118,-8157.882,50000.000,66.00,0
1851,-1135.529,-5438.588,50000.000,49.00,-2338.294,-4840.941,50001.000,79.00,0
1901,-2427.941,-5094.941,50000.000,44.00,-3488.764,-4572.000,49999.000,70.00,0
1951,-2420.470,-4527.176,50000.000,49.00,-3989.294,-6820.646,50000.000,70.00,0
2001,-2420.470,-4131.235,50000.000,58.00,-4176.059,-7567.706,50000.000,35.00,0
2051,-2659.529,-6267.823,50000.000,30.00,-4661.647,-8038.353,50000.000,61.00,0
2101,-3279.588,-6118.411,50000.000,45.00,-5827.059,-8994.588,50000.000,49.00,0
2151,-3765.176,-5244.353,50000.000,48.00,-5759.823,-8456.705,50000.000,59.00,0
2201,-4086.411,-4960.470,50000.000,53.00,-6350.000,-8090.646,50000.000,45.00,0
2251,-4721.412,-2794.000,50000.000,49.00,-5632.823,-6469.529,50001.000,56.00,0
2301,-5109.882,-1434.353,50000.000,44.00,-6155.764,-6267.823,49999.000,48.00,0
2351,-4318.000,-1314.823,50000.000,48.00,-5356.412,-7246.470,50000.000,35.00,0
2401,-3249.706,-2696.882,50000.000,41.00,-5005.294,-7687.235,50001.000,68.00,0
2451,-3040.529,-3862.294,50000.000,45.00,-4766.235,-8583.705,49999.000,36.00,0
2501,-3556.000,-2846.294,50000.000,41.00,-5199.529,-7373.470,50000.000,52.00,0
2551,-4303.059,1397.000,50000.000,42.00,-4930.588,-3727.823,50000.000,58.00,0
2601,-4415.117,6514.353,50000.000,50.00,-2525.059,1277.470,50000.000,83.00,0
2651,-2928.470,4863.353,50000.000,58.00,-1628.588,948.765,50001.000,68.00,0
2701,-903.941,-261.471,50000.000,34.00,-1897.529,-3563.470,49999.000,57.00,0
2751,-179.294,-1994.647,50000.000,47.00,-1710.765,-5154.706,50000.000,78.00,0
2801,537.882,-2995.706,50000.000,44.00,-1157.941,-5565.588,50001.000,61.00,0
2851,268.941,-3354.294,50000.000,44.00,-1270.000,-3757.706,49999.000,32.00,0
2901,-605.118,-1210.235,50000.000,33.00,-986.118,-2405.529,50000.000,61.00,0
2951,-395.941,-52.294,50000.000,42.00,-687.294,-1135.529,50000.000,84.00,0
3001,-1748.118,-1255.059,50000.000,40.00,-1606.176,-328.706,50000.000,78.00,0
3051,-2345.765,-1673.412,50000.000,49.00,-2659.529,-164.353,50001.000,76.00,0
3101,-1553.882,2024.529,50000.000,36.00,-933.823,620.059,49999.000,77.00,0
3151,418.353,2465.294,50000.000,58.00,896.471,-283.882,50001.000,66.00,0
3201,635.000,89.647,50000.000,46.00,216.647,866.588,50000.000,75.00,0
3251,67.235,4930.588,50000.000,61.00,1501.588,3653.117,50000.000,71.00,0
3301,2726.764,7044.764,50000.000,63.00,4056.529,1695.823,50000.000,80.00,0
3351,6835.588,3309.470,50000.000,63.00,5341.470,-4430.059,49999.000,50.00,0
3401,9607.176,-455.706,50000.000,49.00,5849.470,-9315.823,50001.000,49.00,0
3451,10107.705,-1949.823,50000.000,40.00,5632.823,-10720.293,49999.000,52.00,0
3501,10421.470,-3832.412,50000.000,29.00,5916.706,-10533.528,50000.000,72.00,0
