3351151,-14.941,-7.471,50000.000,49.00,0.000,7.471,50000.000,25.00,0
3351201,7.471,0.000,50000.000,55.00,14.941,-37.353,50000.000,31.00,0
3351251,22.412,0.000,50000.000,48.00,0.000,-37.353,50000.000,21.00,0
3351301,-14.941,0.000,50000.000,48.00,-7.471,59.765,50000.000,20.00,0
3351351,-14.941,-22.412,50000.000,43.00,7.471,37.353,50000.000,26.00,0
3351401,14.941,-14.941,50000.000,49.00,0.000,0.000,50000.000,26.00,0
3351451,29.882,14.941,50000.000,51.00,14.941,-22.412,50000.000,28.00,0
3351501,-7.471,-14.941,50000.000,51.00,-7.471,44.824,50000.000,25.00,0
3351551,-7.471,-67.235,50000.000,57.00,0.000,14.941,50000.000,24.00,0
3351601,29.882,-7.471,50000.000,53.00,0.000,-14.941,50000.000,24.00,0
3351651,7.471,7.471,50000.000,58.00,7.471,-7.471,50000.000,25.00,0
3351701,7.471,-7.471,50000.000,59.00,14.941,29.882,50000.000,24.00,0
3351751,112.059,22.412,50000.000,52.00,59.765,-52.294,50000.000,27.00,0
3351801,89.647,44.824,50000.000,62.00,74.706,-112.059,50000.000,28.00,0
3351851,59.765,-29.882,50000.000,51.00,29.882,-7.471,50000.000,30.00,0
3351901,74.706,0.000,50000.000,49.00,52.294,-52.294,50000.000,31.00,0
3351951,7.471,0.000,50000.000,51.00,14.941,0.000,50000.000,25.00,0
3352001,-67.235,-22.412,50000.000,44.00,-59.765,52.294,50000.000,28.00,0
3352051,-82.176,29.882,50000.000,45.00,-59.765,14.941,50000.000,29.00,0
3352101,-82.176,-7.471,50000.000,51.00,-89.647,22.412,50000.000,31.00,0
3352151,-59.765,0.000,50000.000,47.00,-44.824,37.353,50000.000,30.00,0
3352201,0.000,-14.941,50000.000,50.00,-7.471,14.941,50000.000,26.00,0
3352251,44.824,0.000,50000.000,52.00,22.412,-22.412,50000.000,32.00,0
3352301,37.353,0.000,50000.000,50.00,29.882,-22.412,50000.000,31.00,0
3352351,-7.471,-14.941,50000.000,54.00,-7.471,44.824,50000.000,32.00,0
3352401,-7.471,7.471,50000.000,52.00,0.000,14.941,50000.000,33.00,0
3352451,-22.412,-67.235,50000.000,47.00,-7.471,0.000,50000.000,25.00,0
3352501,7.471,0.000,50000.000,53.00,0.000,-44.824,50000.000,30.00,0
3352551,0.000,14.941,50000.000,53.00,0.000,-7.471,50000.000,32.00,0
3352601,-14.941,0.000,50000.000,54.00,-14.941,37.353,50000.000,30.00,0
3352651,0.000,0.000,50000.000,57.00,7.471,0.000,50000.000,34.00,0
3352700,0.000,-22.412,50000.000,49.00,0.000,0.000,50000.000,30.00,0
3352750,29.882,22.412,50000.000,50.00,14.941,-14.941,50000.000,31.00,0
3352801,7.471,7.471,50000.000,51.00,7.471,0.000,50000.000,31.00,0
3352851,-22.412,-7.471,50000.000,54.00,-14.941,14.941,50000.000,27.00,0
3352901,-22.412,-29.882,50000.000,53.00,-7.471,7.471,50000.000,27.00,0
3352951,0.000,0.000,50000.000,56.00,0.000,-29.882,50000.000,29.00,0
3353001,7.471,0.000,50000.000,56.00,0.000,0.000,50000.000,30.00,0
3353050,0.000,0.000,50000.000,56.00,0.000,29.882,50000.000,28.00,0
3353101,7.471,-7.471,50000.000,61.00,7.471,7.471,50000.000,32.00,0
3353151,7.471,-7.471,50000.000,64.00,7.471,0.000,50000.000,30.00,0
3353201,22.412,-37.353,50000.000,54.00,0.000,0.000,50000.000,30.00,0
3353251,14.941,0.000,50000.000,61.00,14.941,-7.471,50000.000,35.00,0
3353301,-14.941,-7.471,50000.000,59.00,-7.471,7.471,50000.000,29.00,0
3353351,-37.353,0.000,50000.000,56.00,-29.882,7.471,50000.000,30.00,0
3353401,0.000,0.000,50000.000,54.00,0.000,7.471,50000.000,30.00,0
3353450,-14.941,-52.294,50000.000,52.00,-7.471,0.000,50000.000,25.00,0
3353501,7.471,14.941,50000.000,50.00,-7.471,-7.471,50000.000,28.00,0
3353551,0.000,7.471,50000.000,49.00,0.000,0.000,50000.000,26.00,0
3353600,-22.412,0.000,50000.000,60.00,-7.471,14.941,50000.000,30.00,0
3353651,0.000,-29.882,50000.000,55.00,7.471,0.000,50000.000,25.00,0
3353701,37.353,22.412,50000.000,53.00,7.471,-7.471,50000.000,25.00,0
3353751,7.471,14.941,50000.000,50.00,37.353,-7.471,50000.000,27.00,0
3353801,-7.471,-14.941,50000.000,49.00,-7.471,29.882,50000.000,27.00,0
3353851,0.000,0.000,50000.000,50.00,-14.941,22.412,50000.000,32.00,0
3353901,1912.470,14.941,50000.000,44.00,0.000,0.000,50000.000,30.00,0
3353951,-7.471,14.941,50000.000,48.00,0.000,-7.471,50000.000,23.00,0
