timestamp[ms],left_dx[um],left_dy[um],left_dt[us],leftshutter,right_dx[um],right_dy[um],right_dt[us],rightshutter,waterPin
0,0.000,0.000,50154.000,27392,0.000,0.000,50156.000,50688,0
51,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,50688,0
101,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50688,0
151,0.000,0.000,50002.000,27392,0.000,0.000,50000.000,50688,0
201,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50688,0
251,0.000,0.000,49999.000,27392,0.000,0.000,49998.000,50688,0
301,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,50688,0
351,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50688,0
401,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50688,0
451,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50688,0
501,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50688,0
551,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
601,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
651,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
701,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
751,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,47616,0
801,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,47616,0
851,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,47616,0
901,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,47616,0
951,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1001,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1051,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,47616,0
1101,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,47616,0
1151,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1201,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1251,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1301,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
