timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
1620431,,,10000.000,,,10000.000,0
1630431,,,10000.000,,,10000.000,0
1640431,,,10000.000,,,10000.000,0
1650431,,,10000.000,,,10000.000,0
1660431,,,10000.000,,,10000.000,0
1670431,,,10000.000,,,10000.000,0
1680431,,,10000.000,,,10000.000,0
1690431,,,10000.000,,,10000.000,0
1700431,,,10000.000,,,10000.000,0
1710431,,,10000.000,,,10000.000,0
1720431,,,10000.000,,,10000.000,0
1730431,,,10000.000,,,10000.000,0
1740431,,,10000.000,,,10000.000,0
1750431,,,10000.000,,,10000.000,0
1760431,,,10000.000,,,10000.000,0
1770431,,,10000.000,,,10000.000,0
1780431,,,10000.000,,,10000.000,0
1790431,,,10000.000,,,10000.000,0
1800431,,,10000.000,,,10000.000,0
1810431,,,10000.000,,,10000.000,0
1820431,,,10000.000,,,10000.000,0
1830431,,,10000.000,,,10000.000,0
1840431,,,10000.000,,,10000.000,0
1850431,,,10000.000,,,10000.000,0
1860431,,,10000.000,,,10000.000,0
1870431,,,10000.000,,,10000.000,0
1880431,,,10000.000,,,10000.000,0
1890431,,,10000.000,,,10000.000,0
1900431,,,10000.000,,,10000.000,0
1910431,,,10000.000,,,10000.000,0
1920431,,,10000.000,,,10000.000,0
1930431,,,10000.000,,,10000.000,0
1940431,,,10000.000,,,10000.000,0
1950431,,,10000.000,,,10000.000,0
1960431,,,10000.000,,,10000.000,0
1970431,,,10000.000,,,10000.000,0
1980431,,,10000.000,,,10000.000,0
1990431,,,10000.000,,,10000.000,0
2000431,,,10000.000,,,10000.000,0
2010431,,,10000.000,,,10000.000,0
2020431,,,10000.000,,,10000.000,0
2030431,,,10000.000,,,10000.000,0
2040431,,,10000.000,,,10000.000,0
2050431,,,10000.000,,,10000.000,0
2060431,,,10000.000,,,10000.000,0
2070431,,,10000.000,,,10000.000,0
2080431,,,10000.000,,,10002.000,0
2090451,,,10000.000,,,10000.000,0
2100431,,,10000.000,,,10000.000,0
2110431,,,10000.000,,,10000.000,0
2120431,,,10000.000,,,10000.000,0
2130431,,,10000.000,,,10000.000,0
2140431,,,10000.000,,,10000.000,0
2150431,,,10000.000,,,10000.000,0
2160431,,,10000.000,,,10000.000,0
2170431,,,10000.000,,,10000.000,0
2180431,,,10000.000,,,10000.000,0
