timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
3351,-2584.823,-2958.353,50000.000,29.00,-3787.588,-590.176,50000.000,67.00,0
3401,-2024.529,-2540.000,50000.000,41.00,-3944.470,-3817.470,50000.000,49.00,0
3451,-2129.117,-1277.470,50000.000,43.00,-3750.235,-5072.529,50000.000,63.00,0
3501,-2629.647,-1464.235,50000.000,38.00,-3660.588,-2816.412,50000.000,39.00,0
3551,-3189.941,-1053.353,50000.000,35.00,-4071.470,-776.941,50000.000,40.00,0
3601,-4086.411,-1912.470,50000.000,36.00,-4713.941,-358.588,50000.000,49.00,0
3651,-4430.059,-3802.529,50000.000,30.00,-6200.588,762.000,50000.000,48.00,0
3701,-5304.117,-4392.706,50000.000,48.00,-6342.529,2674.470,50000.000,63.00,0
3751,-5109.882,-4138.706,50000.000,42.00,-6424.706,1045.882,50000.000,46.00,0
3801,-4534.647,-3055.470,50000.000,46.00,-5954.059,-1068.294,50000.000,81.00,0
3851,-4078.941,-889.000,50000.000,39.00,-5005.294,-2711.823,50000.000,63.00,0
3901,-3249.706,1016.000,50000.000,37.00,-4138.706,-3010.647,50000.000,55.00,0
3951,-3697.941,2293.470,50000.000,47.00,-3787.588,-1905.000,50000.000,65.00,0
4001,-3585.882,1270.000,50000.000,44.00,-3742.764,-866.588,50000.000,53.00,0
4051,-3810.000,-500.529,50000.000,34.00,-4198.470,156.882,50000.000,78.00,0
4101,-3473.823,-1733.176,50000.000,48.00,-4579.470,381.000,50000.000,59.00,0
4151,-3376.706,-1949.823,50000.000,43.00,-4385.235,1240.118,50000.000,75.00,0
4201,-3399.117,-694.765,50000.000,49.00,-3585.882,1501.588,50000.000,69.00,0
4251,-2995.706,-545.353,50000.000,41.00,-3369.235,134.471,50000.000,60.00,0
4301,-2368.176,-478.118,50000.000,41.00,-2958.353,-918.882,50000.000,60.00,0
4351,-2084.294,186.765,50000.000,41.00,-2435.412,-440.765,50000.000,54.00,0
4401,-1957.294,171.824,50000.000,36.00,-2151.529,156.882,50000.000,52.00,0
4451,-1792.941,-605.118,50000.000,41.00,-2256.117,67.235,50000.000,66.00,0
4501,-1695.823,-911.412,50000.000,49.00,-2136.588,298.824,50000.000,55.00,0
