timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
7900436,,,50000.000,,,50000.000,0
7950436,,,50000.000,,,50000.000,0
8000436,,,50000.000,,,50000.000,0
8050436,,,50000.000,,,50000.000,0
8100436,,,50000.000,,,50000.000,0
8150436,,,50000.000,,,50000.000,0
8200436,,,50000.000,,,50000.000,0
8250436,,,50000.000,,,50000.000,0
8300436,,,50000.000,,,50000.000,0
8350436,,,50000.000,,,50000.000,0
8400436,,,50000.000,,,50000.000,0
8450436,,,50000.000,,,50000.000,0
8500436,,,50000.000,,,50000.000,0
8550436,,,50000.000,,,50000.000,0
8600436,,,50000.000,,,50000.000,0
8650436,,,50000.000,,,50000.000,0
8700436,,,50000.000,,,50000.000,0
8750436,,,50000.000,,,50000.000,0
8800436,,,50000.000,,,50000.000,0
8850436,,,50000.000,,,50000.000,0
8900436,,,50000.000,,,50000.000,0
8950436,,,50000.000,,,50000.000,0
9000436,,,50000.000,,,50000.000,0
9050436,,,50000.000,,,50000.000,0
9100436,,,50000.000,,,50000.000,0
9150436,,,50000.000,,,50000.000,0
9200436,,,50000.000,,,50000.000,0
9250436,,,50000.000,,,50000.000,0
9300436,,,50000.000,,,50000.000,0
9350436,,,50000.000,,,50000.000,0
9400436,,,50000.000,,,50000.000,0
9450436,,,50000.000,,,50000.000,0
9500436,,,50000.000,,,50000.000,0
9550436,,,50000.000,,,50000.000,0
9600436,,,50000.000,,,50000.000,0
9650436,,,50000.000,,,50000.000,0
9700436,,,50000.000,,,50000.000,0
9750436,,,50000.000,,,50000.000,0
9800436,,,50000.000,,,50000.000,0
9850436,,,50000.000,,,50000.000,0
9900436,,,50000.000,,,50000.000,0
9950436,,,50000.000,,,50000.000,0
10000436,,,50000.000,,,50000.000,0
10050435,,,50000.000,,,50000.000,0
10100435,,,50000.000,,,50000.000,0
10150435,,,50000.000,,,50000.000,0
10200436,,,50000.000,,,50000.000,0
10250435,,,50000.000,,,50000.000,0
10300435,,,50000.000,,,50000.000,0
10350435,,,50000.000,,,50000.000,0
10400435,,,50000.000,,,50000.000,0
10450435,,,50000.000,,,50000.000,0
10500435,,,50000.000,,,50000.000,0
10550435,,,50000.000,,,50000.000,0
10600435,,,50001.000,,,50000.000,0
10650451,,,50000.000,,,50000.000,0
10700435,,,50000.000,,,50000.000,0
10750435,,,50000.000,,,49999.000,0
10800456,,,49999.000,,,50000.000,0
10850455,,,50000.000,,,49999.000,0
10900455,,,50000.000,,,50000.000,0
10950434,,,50000.000,,,50000.000,0
11000434,,,50000.000,,,50000.000,0
11050433,,,50000.000,,,50000.000,0
11100433,,,50000.000,,,50000.000,0
11150434,,,50000.000,,,50000.000,0
11200434,,,50000.000,,,50000.000,0
11250433,,,50000.000,,,50000.000,0
11300434,,,50000.000,,,50000.000,0
11350434,,,50000.000,,,50000.000,0
11400434,,,50000.000,,,50000.000,0
11450434,,,50000.000,,,50000.000,0
11500433,,,50000.000,,,50000.000,0
11550434,,,50000.000,,,50000.000,0
11600434,,,50000.000,,,50000.000,1
11650434,,,50000.000,,,50000.000,1
11700434,,,50000.000,,,50000.000,0
11750434,,,50000.000,,,50000.000,0
11800434,,,50000.000,,,50000.000,0
11850434,,,50000.000,,,50000.000,0
11900433,,,50000.000,,,50000.000,0
11950434,,,50000.000,,,50000.000,0
12000434,,,50000.000,,,50000.000,0
12050434,,,50000.000,,,50000.000,0
12100434,,,50000.000,,,50000.000,0
12150433,,,50000.000,,,50000.000,0
12200434,,,50000.000,,,50000.000,0
12250433,,,50000.000,,,50000.000,0
12300434,,,50000.000,,,50000.000,0
12350433,,,50000.000,,,50000.000,0
12400434,,,50000.000,,,50000.000,0
12450434,,,50000.000,,,50000.000,0
12500434,,,50000.000,,,50000.000,0
12550434,,,50000.000,,,50000.000,0
12600434,,,50000.000,,,50000.000,0
12650434,,,50000.000,,,50000.000,0
12700434,,,50000.000,,,50000.000,0
12750434,,,50000.000,,,50000.000,0
12800434,,,50000.000,,,50000.000,0
12850434,,,50000.000,,,50000.000,0
12900434,,,50000.000,,,50000.000,0
12950434,,,50000.000,,,50000.000,0
13000434,,,50000.000,,,50000.000,0
13050434,,,50000.000,,,50000.000,0
13100434,,,50000.000,,,50000.000,0
13150433,,,50000.000,,,50000.000,0
13200434,,,50000.000,,,50000.000,0
13250434,,,50000.000,,,50000.000,0
13300434,,,50000.000,,,50000.000,0
13350434,,,50000.000,,,50000.000,0
13400434,,,50000.000,,,50000.000,0
13450434,,,50000.000,,,50000.000,0
13500433,,,50000.000,,,50000.000,0
13550434,,,50000.000,,,50000.000,0
13600434,,,50000.000,,,50000.000,0
13650434,,,50000.000,,,50000.000,0
13700434,,,50000.000,,,50000.000,0
13750434,,,50000.000,,,50000.000,0
13800434,,,50000.000,,,50000.000,0
13850433,,,50000.000,,,50000.000,0
13900433,,,50000.000,,,50000.000,0
13950434,,,50000.000,,,50000.000,0
14000434,,,50000.000,,,50000.000,0
14050433,,,50000.000,,,50000.000,0
14100434,,,50000.000,,,50000.000,0
14150434,,,50000.000,,,50000.000,0
14200434,,,50000.000,,,50000.000,0
14250433,,,50000.000,,,50000.000,0
14300434,,,50000.000,,,50000.000,0
14350434,,,50000.000,,,50000.000,0
14400433,,,50000.000,,,50000.000,0
14450433,,,50000.000,,,50000.000,0
14500434,,,50000.000,,,50000.000,0
14550434,,,50000.000,,,50000.000,0
14600433,,,50000.000,,,50000.000,0
14650433,,,50000.000,,,50000.000,0
14700433,,,50000.000,,,50000.000,0
14750434,,,50000.000,,,50000.000,0
14800434,,,50000.000,,,50000.000,0
14850434,,,50000.000,,,50000.000,0
14900434,,,50000.000,,,50000.000,0
14950434,,,50000.000,,,50000.000,0
15000433,,,50000.000,,,50000.000,0
15050434,,,50000.000,,,50000.000,0
15100434,,,50000.000,,,50000.000,0
15150434,,,50000.000,,,50000.000,0
15200434,,,50000.000,,,50000.000,0
15250434,,,50000.000,,,50000.000,0
15300434,,,50000.000,,,50000.000,0
15350434,,,50000.000,,,50000.000,0
15400434,,,50000.000,,,50000.000,0
15450434,,,50000.000,,,50000.000,0
15500434,,,50000.000,,,50000.000,0
15550433,,,50000.000,,,50000.000,0
15600434,,,50000.000,,,50000.000,0
15650434,,,50000.000,,,50000.000,0
15700434,,,50000.000,,,50000.000,0
15750434,,,50000.000,,,50000.000,0
15800434,,,50000.000,,,50000.000,0
15850434,,,50000.000,,,50000.000,0
15900434,,,50000.000,,,50000.000,0
15950434,,,50000.000,,,50000.000,0
16000434,,,50000.000,,,50000.000,0
16050434,,,50000.000,,,50000.000,0
