timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
3551,1068.294,1710.765,50000.000,52.00,-1307.353,-9958.293,50000.000,49.00,0
3601,-918.882,3384.176,50000.000,88.00,-1195.294,-5729.941,50000.000,54.00,0
3651,-963.706,-2233.706,50000.000,60.00,-2525.059,-6499.411,50000.000,56.00,0
3701,-1621.118,-3675.529,50000.000,58.00,-3705.412,-7552.764,50000.000,39.00,0
3751,-3772.647,-1247.588,50000.000,55.00,-4220.882,-3839.882,50000.000,69.00,0
3801,-5319.059,-1150.470,50000.000,51.00,-5080.000,-2525.059,50000.000,66.00,0
3851,-4519.706,-2794.000,50000.000,93.00,-5849.470,-7112.000,50000.000,38.00,0
3901,-3705.412,-1143.000,50000.000,68.00,-5334.000,-8740.588,50000.000,40.00,0
3951,-3100.294,2779.059,50000.000,75.00,-3974.353,-6872.941,50000.000,56.00,0
4001,-1628.588,-313.765,50000.000,60.00,-3331.882,-8889.999,50000.000,58.00,0
4051,-343.647,-5670.176,50000.000,58.00,-4235.823,-13469.470,50000.000,53.00,0
4101,530.412,-5685.117,50000.000,38.00,-4086.411,-15210.116,50000.000,65.00,0
4151,-791.882,-1157.941,50000.000,55.00,-3966.882,-13686.117,50000.000,62.00,0
4201,-1568.823,1389.529,50000.000,87.00,-4131.235,-12632.764,50000.000,78.00,0
4251,-1389.529,-3735.294,50000.000,41.00,-4646.706,-13805.646,50000.000,75.00,0
4301,-1643.529,-6723.529,50000.000,47.00,-5520.764,-14672.234,50000.000,66.00,0
4351,-2704.353,-4557.059,50000.000,46.00,-5199.529,-11960.411,50000.000,77.00,0
4401,-3810.000,-2196.353,50000.000,56.00,-5236.882,-10832.353,50000.000,66.00,0
4451,-3003.176,-3847.353,50000.000,52.00,-5244.353,-11400.117,50000.000,78.00,0
4501,-3272.117,-5602.941,50000.000,31.00,-5438.588,-10331.823,50000.000,70.00,0
4551,-3578.412,-4512.235,50000.000,46.00,-5498.353,-10511.117,50000.000,75.00,0
4601,-4265.706,-2659.529,50000.000,45.00,-6021.294,-10301.940,50000.000,68.00,0
4651,-4945.529,1441.823,50000.000,59.00,-5946.588,-7522.882,50000.000,79.00,0
4701,-5744.882,1113.118,50000.000,83.00,-5311.588,-6350.000,50000.000,84.00,0
4751,-4960.470,-3279.588,50000.000,57.00,-6768.353,-8882.529,50000.000,77.00,0
4801,-4975.412,-4639.235,50000.000,66.00,-6999.941,-12304.058,50000.000,83.00,0
4851,-4452.470,-4900.706,50000.000,57.00,-8284.882,-14313.646,50000.000,83.00,0
4901,-4609.353,500.529,50000.000,46.00,-6058.646,-11400.117,50000.000,62.00,0
4951,-4071.470,4796.117,50000.000,80.00,-4885.764,-8785.411,50000.000,46.00,0
5001,-3750.235,1531.470,50000.000,77.00,-4549.588,-7485.529,50000.000,50.00,0
5051,-4153.647,-2584.823,50000.000,58.00,-5408.706,-8322.234,50000.000,89.00,0
5101,-2891.117,-3578.412,50000.000,46.00,-5580.529,-11952.940,50000.000,41.00,0
5151,-2181.412,-141.941,50000.000,46.00,-5177.117,-12311.528,50000.000,42.00,0
5201,-2711.823,5513.294,50000.000,88.00,-4280.647,-11048.999,50000.000,40.00,0
5251,-1083.235,3556.000,50000.000,83.00,-3204.882,-11146.117,50000.000,46.00,0
5301,-627.529,-1912.470,50000.000,49.00,-3914.588,-12162.117,50000.000,52.00,0
5351,366.059,-3264.647,50000.000,47.00,-3585.882,-12916.646,50000.000,48.00,0
5401,-1643.529,112.059,50000.000,48.00,-3399.117,-9427.882,50000.000,78.00,0
5451,-2569.882,3526.117,50000.000,84.00,-3817.470,-9913.470,50000.000,71.00,0
5501,-1105.647,1912.470,50000.000,50.00,-4183.529,-13312.587,50000.000,55.00,0
5551,-806.823,-1307.353,50000.000,55.00,-5192.059,-15508.940,50000.000,62.00,0
5601,-911.412,-1374.588,50000.000,48.00,-4982.882,-15516.411,50000.000,53.00,0
5651,-2517.588,1957.294,50000.000,38.00,-4751.294,-11527.117,50000.000,75.00,0
5701,-3062.941,3862.294,50000.000,81.00,-4049.059,-9637.059,50000.000,49.00,0
5751,-2129.117,-2786.529,50000.000,57.00,-4586.941,-10690.411,50000.000,82.00,0
5801,-2084.294,-5789.706,50000.000,52.00,-5326.529,-12281.646,50000.000,51.00,0
5851,-2644.588,-3055.470,50000.000,58.00,-4751.294,-10122.646,50000.000,85.00,0
5901,-3137.647,-403.412,50000.000,74.00,-4654.176,-10339.293,50000.000,68.00,0
5951,-1314.823,-2928.470,50000.000,75.00,-4549.588,-12236.822,50000.000,64.00,0
6001,-1411.941,-5789.706,50000.000,63.00,-4684.059,-12968.940,50000.000,68.00,0
6051,-933.823,-6133.353,50000.000,42.00,-4766.235,-14717.058,50000.000,50.00,0
6101,-1658.470,-2061.882,50000.000,52.00,-4885.764,-13379.822,50000.000,75.00,0
6151,-2076.823,1180.353,50000.000,88.00,-4467.412,-13969.999,50000.000,42.00,0
6201,-1098.176,-2457.823,50000.000,56.00,-4743.823,-13394.764,50000.000,81.00,0
6251,-1733.176,-4616.823,50000.000,38.00,-4751.294,-13566.587,50000.000,57.00,0
6301,-1352.176,-2935.941,50000.000,54.00,-4504.764,-12438.528,50000.000,51.00,0
6351,-2271.059,2375.647,50000.000,33.00,-3735.294,-8725.646,50000.000,59.00,0
6401,-2054.412,4482.353,50000.000,84.00,-3077.882,-8195.234,50000.000,40.00,0
6451,-1128.059,-470.647,50000.000,112.00,-3653.117,-9898.528,50000.000,39.00,0
6501,-2069.353,-1621.118,50000.000,80.00,-4310.529,-10227.234,50000.000,54.00,0
6551,-2973.294,-874.059,50000.000,53.00,-4355.353,-10107.705,50000.000,62.00,0
6601,-2674.470,2009.588,50000.000,58.00,-4512.235,-9308.353,50000.000,52.00,0
6651,-3145.117,7963.646,50000.000,83.00,-2965.823,-7433.235,50000.000,68.00,0
6701,-1314.823,5005.294,50000.000,62.00,-2614.706,-9502.588,50000.000,69.00,0
6751,179.294,-821.765,50000.000,35.00,-3421.529,-13133.293,50000.000,68.00,0
6801,926.353,-1509.059,50000.000,38.00,-3294.529,-15045.764,50000.000,36.00,0
6851,-627.529,1075.765,50000.000,49.00,-3593.353,-11967.882,50000.000,78.00,0
6901,-2286.000,3720.353,50000.000,91.00,-3712.882,-10354.234,50000.000,66.00,0
6951,-1509.059,-552.823,50000.000,57.00,-4332.941,-12468.411,50000.000,60.00,0
7001,-1210.235,-3944.470,50000.000,40.00,-5371.353,-14455.587,50000.000,45.00,0
7051,-1755.588,-1464.235,50000.000,57.00,-5012.764,-12670.117,50000.000,32.00,0
7101,-2935.941,3339.353,50000.000,93.00,-4631.764,-10832.353,50000.000,74.00,0
7151,-1546.412,485.588,50000.000,55.00,-4138.706,-11407.588,50000.000,39.00,0
7201,-1621.118,-3914.588,50000.000,43.00,-5124.823,-11146.117,50000.000,41.00,0
7251,-2958.353,-3160.059,50000.000,57.00,-5102.412,-9592.234,50000.000,57.00,0
7301,-4235.823,-448.235,50000.000,45.00,-5490.882,-6813.176,50000.000,54.00,0
7351,-5109.882,3496.235,50000.000,58.00,-5177.117,-3959.411,50000.000,33.00,0
7401,-4721.412,5670.176,50000.000,83.00,-4504.764,-4176.059,50000.000,68.00,0
7451,-2652.059,1733.176,50000.000,62.00,-4123.765,-8359.588,50000.000,41.00,1
7501,-1337.235,-1718.235,50000.000,59.00,-4489.823,-12057.528,50000.000,43.00,1
7551,-1740.647,-2629.647,50000.000,51.00,-4422.588,-9442.823,50000.000,33.00,0
7601,-4646.706,-575.235,50000.000,68.00,-4676.588,-2390.588,50000.000,54.00,0
7651,-5408.706,3025.588,50000.000,64.00,-4669.117,-776.941,50000.000,66.00,0
7701,-4310.529,6521.823,50000.000,69.00,-3944.470,-1658.470,50000.000,56.00,0
7751,-3122.706,6835.588,50000.000,101.00,-2502.647,-1755.588,50000.000,67.00,0
7801,-3578.412,3914.588,50000.000,56.00,-3518.647,-1643.529,50000.000,64.00,0
7851,-5259.294,3914.588,50000.000,96.00,-4990.353,-2181.412,50000.000,66.00,0
7901,-7709.646,3697.941,50000.000,68.00,-6506.882,-1449.294,50000.000,69.00,0
7951,-9330.764,1949.823,50000.000,77.00,-8359.588,-1524.000,50000.000,76.00,0
8001,-9778.999,1210.235,50000.000,90.00,-9069.294,-1471.706,50000.000,75.00,0
8051,-10944.411,156.882,50000.000,79.00,-10055.411,-642.471,50000.000,59.00,0
8101,-12229.353,-3115.235,50000.000,70.00,-11161.058,-283.882,50000.000,62.00,0
8151,-12602.882,-4967.941,50000.000,45.00,-12431.058,-1270.000,50000.000,45.00,0
8201,-12087.411,-4101.353,50000.000,23.00,-12655.176,-3563.470,50000.000,65.00,0
8251,-12072.470,-2159.000,50000.000,49.00,-11908.117,-4243.294,50000.000,67.00,0
8301,-11952.940,-209.176,50000.000,53.00,-11273.117,-3018.117,50000.000,82.00,0
8351,-11362.764,-724.647,50000.000,51.00,-10563.411,-2465.294,50000.000,53.00,0
8401,-11220.823,-3227.294,50000.000,23.00,-11534.588,-4415.117,50000.000,69.00,0
8451,-11288.058,-3907.117,50000.000,30.00,-11415.058,-4265.706,50000.000,89.00,0
8501,-11116.234,-4669.117,50000.000,45.00,-10645.588,-2181.412,50000.000,78.00,0
8551,-10959.353,-5520.764,50000.000,41.00,-10847.293,-74.706,50000.000,45.00,0
8601,-11542.058,-4459.941,50000.000,31.00,-11086.353,-1068.294,50000.000,58.00,0
8651,-11482.293,-2009.588,50000.000,28.00,-11175.999,-3175.000,50000.000,79.00,0
8701,-11878.234,448.235,50000.000,47.00,-10653.058,-1150.470,50000.000,67.00,0
8751,-11542.058,1113.118,50000.000,96.00,-9920.940,1456.765,50000.000,53.00,0
8801,-10653.058,-2450.353,50000.000,93.00,-9905.999,418.353,50000.000,68.00,0
8851,-9905.999,-6028.764,50000.000,44.00,-10526.059,-1598.706,50000.000,82.00,0
