timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,-7.471,-82.176,50157.000,33.00,-29.882,-82.176,50155.000,63.00,0
51,-1143.000,-13820.587,50000.000,40.00,-4751.294,-10697.882,50000.000,32.00,0
101,-1083.235,-13618.882,50000.000,42.00,-4123.765,-9427.882,50000.000,21.00,0
151,-635.000,-11586.882,50000.000,35.00,-4534.647,-11923.058,50000.000,36.00,0
201,-321.235,-9577.294,50000.000,63.00,-4743.823,-15008.411,50000.000,47.00,0
251,-156.882,-11721.353,50000.000,48.00,-4303.059,-13940.117,50000.000,28.00,0
301,-179.294,-14119.411,50000.000,48.00,-4669.117,-14074.587,50000.000,60.00,0
351,351.118,-10854.764,50000.000,42.00,-4191.000,-14784.293,50000.000,52.00,0
401,67.235,-6910.293,50000.000,57.00,-4041.588,-15195.176,50000.000,66.00,0
451,366.059,-9136.528,50000.000,68.00,-3526.117,-13671.176,50000.000,78.00,0
501,-67.235,-13275.234,50000.000,47.00,-4056.529,-11967.882,50000.000,36.00,0
551,-156.882,-14149.293,50000.000,95.00,-4310.529,-12453.470,50000.000,42.00,0
601,-1890.059,-14283.764,50000.000,78.00,-4960.470,-12610.353,50000.000,61.00,0
651,-2547.470,-16128.999,50000.000,58.00,-5610.412,-11258.176,50000.000,79.00,0
701,-3750.235,-19251.705,50000.000,55.00,-6051.176,-7724.588,50000.000,55.00,0
751,-3660.588,-19998.764,50000.000,52.00,-6858.000,-8927.353,50000.000,82.00,0
801,-4310.529,-19834.410,50000.000,41.00,-7627.470,-8964.705,50000.000,63.00,0
851,-5132.294,-20917.646,50000.000,27.00,-8479.117,-5789.706,50000.000,67.00,0
901,-5662.706,-21604.939,50000.000,70.00,-8650.940,-5386.294,50000.000,66.00,0
951,-5670.176,-23509.939,50000.000,34.00,-9338.234,-6140.823,50000.000,66.00,0
1001,-6402.293,-21216.469,50000.000,52.00,-8830.234,-4108.823,50000.000,74.00,0
1051,-5737.411,-17092.705,50000.000,38.00,-7410.823,-3167.529,50000.000,47.00,0
1101,-4811.059,-16360.587,50000.000,40.00,-7343.588,-8030.882,50000.000,46.00,0
1151,-4153.647,-15635.940,50000.000,44.00,-7231.529,-10264.588,50000.000,66.00,0
1201,-4624.294,-15411.822,50000.000,41.00,-7328.646,-8269.940,50000.000,31.00,0
1251,-4400.176,-15785.352,50000.000,25.00,-7590.117,-8837.705,50000.000,67.00,0
1301,-4026.647,-13095.940,50000.000,31.00,-6887.882,-8322.234,50000.000,39.00,0
1351,-5065.059,-9599.705,50000.000,40.00,-6469.529,-6962.588,50000.000,18.00,0
1401,-4818.529,-9876.117,50000.000,35.00,-6880.411,-6237.941,50000.000,21.00,0
1451,-5169.646,-11654.117,50000.000,43.00,-5752.353,-4392.706,50000.000,13.00,0
1501,-4616.823,-12550.587,50000.000,36.00,-4078.941,-4011.706,50000.000,22.00,0
1551,-4131.235,-9360.646,50000.000,48.00,-4758.764,-7440.706,50000.000,30.00,0
1601,-3712.882,-5535.706,50000.000,36.00,-6484.470,-13095.940,50000.000,68.00,0
1651,-3496.235,-7582.646,50000.000,32.00,-5834.529,-11161.058,50000.000,46.00,0
1701,-4303.059,-10593.293,50000.000,26.00,-6790.764,-8860.117,50000.000,64.00,0
1751,-4459.941,-10526.059,50000.000,41.00,-6312.646,-8060.764,50000.000,43.00,0
1801,-4482.353,-7963.646,50000.000,34.00,-6297.706,-10025.528,50000.000,42.00,0
1851,-3705.412,-7829.176,50000.000,37.00,-6133.353,-13222.940,50000.000,82.00,0
1901,-3331.882,-12498.293,50000.000,44.00,-6484.470,-13043.646,50000.000,62.00,0
1951,-3907.117,-17152.469,50000.000,33.00,-7560.235,-13006.293,50000.000,44.00,0
2001,-3451.412,-16353.116,50000.000,54.00,-7530.353,-13940.117,50000.000,66.00,0
2051,-4123.765,-14552.705,50000.000,69.00,-7321.176,-14096.999,50000.000,56.00,0
2101,-4713.941,-16278.411,50000.000,59.00,-7776.882,-11489.764,50000.000,71.00,0
2151,-6103.470,-16315.764,50000.000,42.00,-8150.411,-5446.059,50000.000,41.00,0
2201,-6230.470,-13432.117,50000.000,63.00,-8381.999,-6058.646,50000.000,45.00,0
2251,-5505.823,-12670.117,50000.000,86.00,-8367.059,-9024.470,50000.000,71.00,0
2301,-6902.823,-15172.764,50000.000,61.00,-9263.528,-7634.940,50000.000,55.00,0
2351,-8202.705,-15949.705,50000.000,46.00,-9577.294,-3369.235,50000.000,74.00,0
2401,-8867.588,-15180.234,50000.000,59.00,-9637.059,-2061.882,50000.000,56.00,0
2451,-9241.117,-15553.764,50000.000,32.00,-10578.353,-4811.059,50000.000,54.00,0
2501,-9442.823,-16838.705,50001.000,56.00,-11766.176,-5744.882,50000.000,40.00,0
2551,-9637.059,-17899.527,50000.000,57.00,-11175.999,-4168.588,49999.000,92.00,0
2601,-9659.470,-17936.881,49999.000,57.00,-11833.411,-5027.706,49999.000,35.00,0
2651,-9846.234,-18616.705,50000.000,50.00,-12871.822,-6611.470,50000.000,68.00,0
2701,-10346.764,-18519.588,50000.000,44.00,-13454.528,-6148.294,50000.000,64.00,0
2751,-10682.940,-17697.822,50000.000,40.00,-12782.176,-4870.823,50000.000,83.00,0
2801,-10802.470,-16965.705,50000.000,34.00,-13454.528,-7044.764,50000.000,71.00,0
2851,-11056.470,-16846.176,50000.000,37.00,-13648.764,-8217.646,50000.000,75.00,0
2901,-11706.411,-16143.940,50000.000,25.00,-13902.764,-6096.000,50000.000,64.00,0
2951,-11908.117,-14448.116,50000.000,34.00,-13775.764,-5311.588,50000.000,67.00,0
3001,-12431.058,-13387.293,50000.000,33.00,-14694.646,-5894.294,50000.000,31.00,0
3051,-13118.353,-13701.058,50000.000,47.00,-15225.058,-6170.706,50000.000,79.00,0
3101,-13962.528,-14873.940,50000.000,41.00,-15374.470,-4452.470,50000.000,46.00,0
3151,-13992.411,-13925.176,50000.000,38.00,-15352.058,-3570.941,50000.000,16.00,0
3201,-14186.646,-12438.528,50000.000,22.00,-15329.646,-5423.646,50000.000,18.00,0
3251,-14612.470,-11736.293,50000.000,37.00,-15904.881,-7201.646,50000.000,47.00,0
3301,-14739.470,-11228.293,50000.000,35.00,-15703.176,-5244.353,50000.000,24.00,0
3351,-14985.999,-10682.940,50000.000,41.00,-15508.940,-2487.706,50000.000,35.00,0
3401,-15479.058,-9674.411,50000.000,18.00,-15837.646,-3496.235,50000.000,33.00,0
3451,-15434.234,-8090.646,50000.000,30.00,-15792.822,-5901.764,50000.000,61.00,0
3501,-15187.705,-6798.235,50000.000,32.00,-15284.822,-6775.823,50000.000,56.00,0
3551,-13088.470,-6536.764,50000.000,42.00,-14246.411,-5759.823,50000.000,39.00,0
3601,-11325.411,-6081.059,50000.000,66.00,-12311.528,-5326.529,50000.000,26.00,0
3651,-9913.470,-7507.940,50000.000,42.00,-12259.234,-8994.588,50000.000,60.00,0
3701,-9226.176,-5393.764,50000.000,60.00,-11512.176,-10137.588,50000.000,79.00,0
3751,-9554.882,-739.588,50000.000,65.00,-9711.764,-5909.235,50000.000,74.00,0
3801,-10100.234,29.882,50000.000,47.00,-9644.528,-3593.353,50000.000,68.00,0
