timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
4850764,1120.588,-171.824,50000.000,1240.118,97.118,50000.000
4900760,1157.941,-37.353,50000.000,1277.470,119.529,50000.000
4950770,1098.176,82.176,50000.000,1232.647,127.000,50000.000
5000764,1060.823,119.529,50000.000,1195.294,67.235,50000.000
5050768,1113.118,-82.176,50001.000,1352.176,14.941,50000.000
5100782,1143.000,-179.294,49999.000,1441.823,74.706,50000.000
5150788,1255.059,-82.176,50000.000,1367.118,164.353,50000.000
5200763,1128.059,52.294,50000.000,1299.882,52.294,50000.000
5250762,1105.647,216.647,50000.000,1180.353,-37.353,50000.000
5300762,1060.823,119.529,50000.000,1143.000,-74.706,50000.000
5350763,1098.176,-44.824,50000.000,1270.000,29.882,50000.000
5400761,1128.059,-112.059,50000.000,1292.412,104.588,50000.000
5450765,1135.529,-82.176,50000.000,1262.529,156.882,50000.000
5500775,1068.294,14.941,50000.000,1150.470,74.706,50000.000
5550755,971.176,7.471,50000.000,1128.059,0.000,50000.000
5600672,963.706,-74.706,50000.000,1135.529,29.882,50000.000
5650752,933.823,-37.353,50000.000,1053.353,89.647,50000.000
5700755,851.647,22.412,50000.000,978.647,74.706,50000.000
5750740,739.588,52.294,50000.000,859.118,37.353,50000.000
5800750,672.353,-7.471,50000.000,844.176,-22.412,50000.000
5850732,597.647,-14.941,50000.000,814.294,14.941,50000.000
5900758,664.882,-29.882,50000.000,754.529,59.765,50000.000
5950754,545.353,0.000,50000.000,649.941,29.882,50000.000
6000690,470.647,67.235,50000.000,493.059,14.941,50000.000
6050743,373.529,22.412,50000.000,448.235,-7.471,50000.000
6100733,321.235,-127.000,50000.000,463.176,0.000,50000.000
6150696,321.235,-89.647,50000.000,343.647,52.294,50000.000
6200757,201.706,59.765,50000.000,186.765,59.765,50000.000
6250739,134.471,127.000,50001.000,67.235,14.941,50000.000
6300763,7.471,7.471,49999.000,59.765,-74.706,50000.000
6350717,0.000,-89.647,50000.000,29.882,-29.882,50000.000
6400684,-7.471,7.471,50001.000,-52.294,59.765,50000.000
6450718,-104.588,82.176,49999.000,-171.824,0.000,50000.000
6500711,-239.059,59.765,50000.000,-254.000,-104.588,50000.000
6550753,-239.059,-37.353,50000.000,-231.588,-67.235,50000.000
6600754,-231.588,-52.294,50000.000,-283.882,0.000,50000.000
6650697,-268.941,44.824,50000.000,-410.882,29.882,50000.000
6700751,-313.765,82.176,50000.000,-470.647,-59.765,50000.000
6750751,-403.412,-7.471,50000.000,-410.882,-127.000,50000.000
6800735,-366.059,-104.588,50000.000,-366.059,-52.294,50000.000
6850756,-395.941,-7.471,50000.000,-463.176,-14.941,50000.000
6900735,-395.941,89.647,50000.000,-522.941,-22.412,50000.000
6950751,-306.294,52.294,50000.000,-515.471,-44.824,50000.000
7000750,-403.412,-59.765,50000.000,-418.353,-112.059,50000.000
7050751,-358.588,-97.118,50000.000,-388.471,-14.941,50000.000
7100754,-351.118,-7.471,50000.000,-410.882,-22.412,50000.000
7150731,-351.118,97.118,50000.000,-455.706,-44.824,50000.000
7200745,-291.353,112.059,50000.000,-455.706,-37.353,50000.000
7250750,-298.824,-14.941,50000.000,-328.706,-97.118,50000.000
7300751,-298.824,-134.471,50001.000,-231.588,-67.235,50000.000
7350775,-201.706,-44.824,49999.000,-283.882,0.000,50000.000
7400708,-254.000,82.176,50000.000,-291.353,-22.412,50000.000
7450750,-239.059,134.471,50000.000,-283.882,-44.824,50000.000
7500752,-156.882,7.471,50000.000,-201.706,-22.412,50000.000
7550729,-149.412,-119.529,50000.000,-52.294,-44.824,50000.000
7600757,-74.706,-67.235,50000.000,-74.706,-7.471,50000.000
7650720,-74.706,112.059,50000.000,-141.941,37.353,50000.000
7700745,-74.706,141.941,50000.000,-112.059,-59.765,50000.000
7750747,-37.353,-7.471,50000.000,-14.941,-52.294,50000.000
7800728,0.000,-141.941,50001.000,97.118,0.000,50000.000
7850635,67.235,-74.706,49999.000,97.118,22.412,50000.000
7900755,22.412,37.353,50000.000,44.824,52.294,50000.000
7950732,89.647,179.294,50000.000,14.941,52.294,50000.000
8000750,104.588,44.824,50000.000,104.588,-22.412,50000.000
8050745,134.471,-179.294,50000.000,254.000,-74.706,50000.000
8100749,171.824,-127.000,50000.000,254.000,104.588,50000.000
8150757,201.706,97.118,50000.000,141.941,343.647,50000.000
8200748,582.706,597.647,50000.000,44.824,2315.882,50000.000
8250757,911.412,859.118,50000.000,-156.882,3197.412,50000.000
8300762,7.471,642.471,50000.000,-455.706,1187.823,50000.000
8350735,-918.882,171.824,50000.000,-649.941,-1337.235,50000.000
8400774,-821.765,-82.176,50000.000,-657.412,-1157.941,50000.000
8450766,-321.235,-336.176,50000.000,-328.706,-418.353,50000.000
8500763,-418.353,-552.823,50000.000,-134.471,-321.235,50000.000
8550764,-89.647,-171.824,50000.000,-201.706,306.294,50000.000
8600751,0.000,283.882,50000.000,-410.882,1464.235,50000.000
8650700,141.941,784.412,50000.000,-679.823,1665.941,50000.000
8700769,-694.765,7.471,50000.000,-694.765,-896.471,50000.000
8750732,-1240.118,-306.294,50000.000,-433.294,-1486.647,50000.000
8800777,59.765,373.529,50000.000,-612.588,642.471,50000.000
8850753,261.471,-67.235,50000.000,-29.882,537.882,50000.000
8900751,-306.294,-1314.823,50001.000,769.471,-1561.353,50000.000
8950793,-141.941,-1045.882,49999.000,545.353,-1449.294,50000.000
9000804,522.941,104.588,50000.000,366.059,134.471,50000.000
9050752,530.412,231.588,50001.000,395.941,44.824,50000.000
9100760,216.647,-239.059,49999.000,762.000,-709.706,50000.000
9150774,478.118,-403.412,50000.000,739.588,-500.529,50000.000
9200754,493.059,-74.706,50000.000,814.294,0.000,50000.000
9250676,702.235,14.941,50000.000,806.823,89.647,50000.000
9300750,649.941,-14.941,50000.000,784.412,-127.000,50000.000
9350757,657.412,-59.765,50000.000,866.588,-82.176,50000.000
9400751,717.176,0.000,50000.000,784.412,22.412,50000.000
9450684,657.412,-14.941,50000.000,806.823,-7.471,50000.000
9500731,694.765,7.471,50000.000,784.412,-74.706,50000.000
9550723,687.294,82.176,50000.000,717.176,-37.353,50000.000
9600753,635.000,0.000,50000.000,799.353,22.412,50000.000
9650681,508.000,-37.353,50000.000,747.059,22.412,50000.000
9700738,620.059,-82.176,50000.000,717.176,0.000,50000.000
9750684,567.765,29.882,50000.000,642.471,67.235,50000.000
9800745,448.235,67.235,50000.000,485.588,14.941,50000.000
9850753,395.941,29.882,50000.000,508.000,-59.765,50000.000
9900741,410.882,-119.529,50000.000,537.882,-22.412,50000.000
9950756,194.235,-67.235,50000.000,470.647,44.824,50000.000
10000749,104.588,-7.471,50000.000,425.823,-7.471,50000.000
10050713,239.059,37.353,50000.000,321.235,-37.353,50000.000
10100744,261.471,156.882,50001.000,201.706,52.294,50000.000
10150763,179.294,29.882,49999.000,194.235,-52.294,50000.000
10200777,134.471,-112.059,50000.000,239.059,-74.706,50000.000
10250743,164.353,-127.000,50000.000,164.353,44.824,50000.000
10300750,82.176,-59.765,50000.000,59.765,0.000,50000.000
10350675,-29.882,22.412,50000.000,0.000,-82.176,50000.000
10400678,-22.412,149.412,50000.000,-89.647,22.412,50000.000
10450742,-52.294,97.118,50000.000,-134.471,7.471,50000.000
10500723,-156.882,-89.647,50000.000,-89.647,-97.118,50000.000
10550752,-134.471,-149.412,50000.000,-97.118,-22.412,50000.000
10600746,-134.471,-37.353,50000.000,-201.706,0.000,50000.000
10650680,-268.941,97.118,50000.000,-276.412,-37.353,50000.000
10700749,-254.000,186.765,50000.000,-395.941,0.000,50000.000
10750688,-283.882,67.235,50000.000,-381.000,-59.765,50000.000
10800750,-313.765,-127.000,50000.000,-224.118,-97.118,50000.000
10850754,-74.706,-52.294,50000.000,-276.412,22.412,50000.000
10900742,-119.529,22.412,50000.000,-328.706,14.941,50000.000
10950748,-381.000,209.176,50000.000,-433.294,-22.412,50000.000
11000753,-351.118,127.000,50000.000,-463.176,-82.176,50000.000
11050758,-313.765,-97.118,50002.000,-268.941,-82.176,50001.000
11100786,-276.412,-164.353,49998.000,-239.059,-22.412,50001.000
11150794,-268.941,-22.412,50000.000,-321.235,-14.941,50000.000
11200759,-343.647,149.412,50000.000,-366.059,-29.882,50000.000
