timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50153.000,54.00,0.000,0.000,50153.000,45.00,0
51,-67.235,0.000,50000.000,55.00,-29.882,59.765,50000.000,44.00,0
101,29.882,-37.353,50000.000,54.00,7.471,-52.294,50000.000,55.00,0
151,89.647,-14.941,50000.000,62.00,37.353,-67.235,50000.000,56.00,0
201,0.000,0.000,50000.000,60.00,22.412,37.353,50000.000,55.00,0
251,-29.882,-7.471,50000.000,54.00,-7.471,59.765,50000.000,53.00,0
301,-7.471,0.000,50000.000,56.00,-22.412,0.000,50000.000,57.00,0
351,-14.941,0.000,50000.000,51.00,-14.941,-14.941,50000.000,53.00,0
401,0.000,0.000,50000.000,52.00,0.000,0.000,50000.000,55.00,0
451,7.471,0.000,50000.000,60.00,0.000,0.000,50000.000,54.00,0
501,14.941,-52.294,50000.000,55.00,7.471,-37.353,50000.000,56.00,0
551,22.412,-22.412,50000.000,50.00,0.000,-37.353,50000.000,52.00,0
601,-22.412,29.882,50000.000,52.00,-7.471,37.353,50000.000,52.00,0
651,-67.235,0.000,50000.000,57.00,-37.353,67.235,50000.000,45.00,0
701,-7.471,0.000,50000.000,55.00,-22.412,0.000,50000.000,49.00,0
751,-22.412,104.588,50000.000,49.00,0.000,59.765,50000.000,47.00,0
801,-74.706,246.529,50000.000,48.00,14.941,82.176,50000.000,46.00,0
851,-134.471,-127.000,50000.000,46.00,-186.765,-291.353,50000.000,53.00,0
901,-291.353,-649.941,50000.000,58.00,-440.765,-732.118,50000.000,40.00,0
951,-410.882,-1538.941,50000.000,51.00,-776.941,-1733.176,50000.000,71.00,0
1001,-620.059,-1785.470,50000.000,44.00,-1217.706,-2450.353,50000.000,40.00,0
1051,-575.235,627.529,50000.000,60.00,-649.941,-1210.235,50000.000,75.00,0
1101,-231.588,1397.000,50000.000,51.00,-44.824,-313.765,50000.000,74.00,0
1151,134.471,1426.882,50000.000,62.00,373.529,343.647,50000.000,33.00,0
1201,1008.529,351.118,50000.000,57.00,1030.941,22.412,50000.000,48.00,0
1251,1673.412,956.235,50000.000,63.00,1538.941,-373.529,50000.000,54.00,0
1301,3548.529,2637.117,50000.000,71.00,3219.823,-2271.059,50000.000,75.00,0
1351,6536.764,2413.000,50000.000,69.00,4953.000,-3884.706,50000.000,44.00,0
1401,7448.176,2801.470,50000.000,68.00,6275.293,-2853.764,50000.000,56.00,0
1451,8934.823,3354.294,50000.000,61.00,7485.529,-4041.588,50000.000,64.00,0
1501,12640.234,3697.941,50000.000,72.00,10391.588,-7186.706,50000.000,82.00,0
1551,16943.293,2248.647,50000.000,65.00,13021.234,-9935.882,50000.000,73.00,0
1601,21911.234,-164.353,50000.000,53.00,15045.764,-12266.705,50000.000,36.00,0
1651,26871.703,1247.588,50000.000,83.00,19072.410,-10780.058,50000.000,66.00,0
1701,27245.234,3077.882,50000.000,64.00,21806.646,-6835.588,50000.000,50.00,0
1751,28126.764,3406.588,50000.000,77.00,23554.764,-7425.764,50000.000,22.00,0
1801,30733.998,1568.823,50000.000,43.00,25713.764,-9749.117,50000.000,38.00,0
1851,31959.174,-978.647,50000.000,48.00,26288.998,-12132.234,50000.000,87.00,0
1901,33602.703,-1195.294,50000.000,42.00,27529.115,-13955.058,50000.000,60.00,0
1951,34028.527,-381.000,50000.000,49.00,28246.293,-14836.587,50000.000,74.00,0
2001,33527.996,470.647,50000.000,68.00,28126.764,-17309.352,50000.000,51.00,0
2051,31966.645,1075.765,50000.000,57.00,26662.527,-13036.176,50000.000,48.00,0
2101,31219.586,1105.647,50000.000,40.00,25041.410,-10174.940,50000.000,66.00,0
2151,31847.115,1598.706,50000.000,53.00,26064.881,-12191.999,50000.000,41.00,0
2201,32661.410,2099.235,50000.000,39.00,27499.234,-14941.176,50000.000,79.00,0
2251,32257.998,1591.235,50000.000,48.00,27626.234,-16375.528,50000.000,40.00,0
2301,32116.057,739.588,50000.000,59.00,27775.645,-14582.587,50000.000,41.00,0
2351,31899.410,-724.647,50000.000,53.00,27192.939,-11385.176,50000.000,33.00,0
2401,31779.881,545.353,50000.000,42.00,27028.586,-11504.705,50000.000,28.00,0
2451,31548.291,2607.235,50000.000,63.00,27028.586,-13775.764,50000.000,61.00,0
2501,31241.998,2330.823,50000.000,44.00,26699.881,-14126.882,50000.000,58.00,0
2551,30606.998,2928.470,50000.000,60.00,25758.586,-10705.353,50000.000,39.00,0
