timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
7900433,,,50000.000,,,50000.000,0
7950433,,,50000.000,,,50000.000,0
8000433,,,50000.000,,,50000.000,0
8050433,,,50000.000,,,50000.000,0
8100433,,,50000.000,,,50000.000,0
8150433,,,50000.000,,,50000.000,0
8200433,,,50000.000,,,50000.000,0
8250433,,,50000.000,,,50000.000,0
8300433,,,50000.000,,,50000.000,0
8350433,,,50000.000,,,50000.000,0
8400433,,,50000.000,,,50000.000,0
8450433,,,50000.000,,,50000.000,0
8500433,,,50000.000,,,50000.000,0
8550433,,,50000.000,,,50000.000,0
8600433,,,50000.000,,,50000.000,0
8650433,,,50000.000,,,50000.000,0
8700433,,,50000.000,,,50000.000,0
8750433,,,50000.000,,,50000.000,0
8800433,,,50000.000,,,50000.000,0
8850433,,,50000.000,,,50000.000,0
8900433,,,50000.000,,,50000.000,0
8950433,,,50000.000,,,50000.000,0
9000433,,,50000.000,,,50000.000,0
9050433,,,50000.000,,,50000.000,0
9100433,,,50000.000,,,50000.000,0
9150433,,,50000.000,,,50000.000,0
9200433,,,50000.000,,,50000.000,0
9250433,,,50000.000,,,50000.000,0
9300433,,,50000.000,,,50000.000,0
9350433,,,50000.000,,,50000.000,0
9400433,,,50000.000,,,50000.000,0
9450433,,,50000.000,,,50000.000,0
9500433,,,50000.000,,,50000.000,0
9550433,,,50000.000,,,50000.000,0
9600433,,,50000.000,,,50000.000,0
9650433,,,50000.000,,,50000.000,0
9700433,,,50000.000,,,50000.000,0
9750433,,,50000.000,,,50000.000,0
9800433,,,50000.000,,,50000.000,0
9850433,,,50000.000,,,50000.000,0
9900433,,,50000.000,,,50000.000,0
9950433,,,50000.000,,,50000.000,0
10000433,,,50000.000,,,50000.000,0
10050433,,,50000.000,,,50000.000,0
10100433,,,50000.000,,,50000.000,0
10150433,,,50000.000,,,50000.000,0
10200433,,,50000.000,,,50000.000,0
10250433,,,50000.000,,,50000.000,0
10300433,,,50000.000,,,50000.000,0
10350433,,,50000.000,,,50000.000,0
10400433,,,50000.000,,,50000.000,0
10450433,,,50000.000,,,50000.000,0
10500433,,,50000.000,,,50000.000,0
10550433,,,50000.000,,,50000.000,0
10600433,,,50000.000,,,50000.000,0
10650433,,,50000.000,,,50000.000,0
10700433,,,50000.000,,,50000.000,0
10750433,,,50000.000,,,50000.000,0
10800433,,,50000.000,,,50000.000,0
10850433,,,50000.000,,,50000.000,0
10900433,,,50000.000,,,50000.000,0
10950433,,,50000.000,,,50000.000,0
11000433,,,50000.000,,,50000.000,0
11050433,,,50000.000,,,50000.000,0
