timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50153.000,48.00,0.000,-74.706,50153.000,59.00,0
51,2980.764,986.118,50000.000,89.00,74.706,-11967.882,50000.000,45.00,0
101,3750.235,-2510.117,50000.000,31.00,179.294,-12692.528,50000.000,74.00,0
151,4370.294,-3951.941,50000.000,44.00,231.588,-14844.058,50000.000,58.00,0
201,4452.470,1441.823,50000.000,60.00,1023.471,-13021.234,50000.000,69.00,0
251,4437.529,4153.647,50000.000,93.00,2017.059,-13835.528,50000.000,42.00,0
301,5498.353,-1509.059,50000.000,48.00,956.235,-15142.881,50000.000,44.00,0
351,5647.764,-4497.294,50000.000,46.00,381.000,-15785.352,50000.000,43.00,0
401,4751.294,-1404.470,50000.000,52.00,545.353,-13357.411,50000.000,75.00,0
451,2928.470,2472.765,50000.000,69.00,724.647,-12177.058,50000.000,55.00,0
501,4609.353,-1337.235,50000.000,69.00,478.118,-13992.411,50000.000,55.00,0
551,3862.294,-6469.529,50000.000,48.00,-522.941,-14612.470,50000.000,61.00,0
601,4026.647,-6596.529,50000.000,52.00,-268.941,-14470.528,50000.000,44.00,0
651,2390.588,-3511.176,50000.000,48.00,-844.176,-12759.764,50000.000,58.00,0
701,2286.000,-2480.235,50000.000,82.00,-978.647,-14507.882,50000.000,47.00,0
751,3003.176,-6872.941,50000.000,45.00,-1553.882,-13469.470,50000.000,58.00,0
801,1942.353,-7986.058,50000.000,53.00,-1994.647,-13095.940,50000.000,58.00,0
851,1553.882,-5879.353,50000.000,49.00,-2517.588,-11616.764,50000.000,63.00,0
901,-388.471,-1807.882,50000.000,53.00,-2584.823,-8299.823,50000.000,56.00,0
951,-1792.941,836.706,50000.000,82.00,-2286.000,-5319.059,50000.000,60.00,0
1001,-1979.706,-2532.529,50000.000,45.00,-2973.294,-5662.706,50000.000,66.00,0
1051,-2502.647,-4235.823,50000.000,45.00,-4370.294,-5692.588,50000.000,52.00,0
1101,-4870.823,-1688.353,50000.000,83.00,-4878.294,-1919.941,50000.000,66.00,0
1151,-6499.411,-1449.294,50000.000,82.00,-5632.823,-1807.882,50000.000,78.00,0
1201,-4355.353,-3593.353,50000.000,53.00,-6237.941,-7672.293,50000.000,42.00,0
1251,-3406.588,-1875.118,50000.000,65.00,-5707.529,-9524.999,50000.000,61.00,0
1301,-3944.470,552.823,50000.000,92.00,-4997.823,-8792.882,50000.000,47.00,0
1351,-2779.059,-2540.000,50000.000,70.00,-5087.470,-9950.823,50000.000,69.00,0
1401,-2921.000,-6193.117,50000.000,43.00,-5700.059,-9831.293,50000.000,58.00,0
1451,-3593.353,-5677.646,50000.000,59.00,-5304.117,-8673.353,50000.000,64.00,0
1501,-4407.647,-4370.294,50000.000,57.00,-5819.588,-6566.646,50000.000,52.00,0
1551,-4512.235,-3989.294,50000.000,39.00,-5475.941,-5647.764,50000.000,59.00,0
1601,-3772.647,-3974.353,50000.000,48.00,-5154.706,-6088.529,50000.000,42.00,0
1651,-2637.117,-3122.706,50000.000,31.00,-3765.176,-4646.706,50000.000,50.00,0
1701,-2024.529,-1449.294,50000.000,31.00,-2465.294,-2950.882,50000.000,44.00,0
1751,-1830.294,-381.000,50000.000,53.00,-1972.235,-1434.353,50000.000,61.00,0
1801,-2226.235,-67.235,50000.000,54.00,-2562.412,-3100.294,50000.000,57.00,0
1851,-627.529,1247.588,50000.000,60.00,-1890.059,-4751.294,50000.000,47.00,0
1901,455.706,3623.235,50000.000,69.00,127.000,-3914.588,50000.000,51.00,0
1951,2711.823,3937.000,50000.000,79.00,1919.941,-5729.941,50000.000,62.00,0
2001,4631.764,1875.118,50000.000,64.00,2159.000,-9965.764,50000.000,43.00,0
2051,5558.117,1957.294,50000.000,52.00,2584.823,-10257.117,50000.000,45.00,0
2101,5117.353,5752.353,50000.000,60.00,3369.235,-7986.058,50000.000,77.00,0
2151,6462.059,6529.293,50000.000,86.00,4691.529,-8643.470,50000.000,64.00,0
2201,8688.294,1240.118,50000.000,65.00,5289.176,-9136.528,50000.000,85.00,0
2251,9420.411,-1934.882,50000.000,43.00,5625.353,-9524.999,50000.000,62.00,0
