timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50153.000,25.00,0.000,0.000,50153.000,34.00,0
51,2846.294,-15292.293,50000.000,35.00,-762.000,-9248.588,50000.000,40.00,0
101,1583.765,-15292.293,50000.000,47.00,-1964.765,-8523.940,50000.000,49.00,0
151,784.412,-15135.411,50000.000,38.00,-3025.588,-10115.176,50000.000,43.00,0
201,246.529,-15127.940,50000.000,44.00,-3660.588,-10862.234,50000.000,68.00,0
251,0.000,-15658.352,50000.000,32.00,-3361.764,-8852.646,50000.000,72.00,0
301,-440.765,-15396.881,50000.000,36.00,-3249.706,-8075.706,50000.000,34.00,0
351,-515.471,-14560.176,50000.000,38.00,-3944.470,-10458.823,50000.000,63.00,0
401,-567.765,-15665.822,50000.000,42.00,-4691.529,-10787.528,50000.000,85.00,0
451,-1703.294,-17376.588,50000.000,45.00,-4706.470,-7874.000,50000.000,64.00,0
501,-1957.294,-16397.939,50000.000,53.00,-4564.529,-7112.000,50000.000,76.00,0
551,-2069.353,-15927.293,50000.000,74.00,-5087.470,-10316.882,50000.000,81.00,0
601,-2323.353,-16831.234,50000.000,58.00,-5580.529,-11683.999,50000.000,45.00,0
651,-2681.941,-16659.410,50000.000,68.00,-5707.529,-9129.059,50000.000,31.00,0
701,-3287.059,-15187.705,50000.000,71.00,-5513.294,-7470.588,50000.000,73.00,0
751,-3302.000,-12677.587,50000.000,87.00,-5804.646,-9891.059,50000.000,80.00,0
801,-3354.294,-11235.764,50000.000,57.00,-5565.588,-10899.588,50000.000,63.00,0
851,-3234.764,-11429.999,50000.000,61.00,-5602.941,-9084.234,50000.000,76.00,0
901,-2928.470,-11930.528,50000.000,84.00,-4512.235,-7403.353,50000.000,72.00,0
951,-2420.470,-12744.822,50000.000,37.00,-5162.176,-9637.059,50000.000,81.00,0
1001,-2540.000,-10286.999,50000.000,85.00,-5371.353,-12281.646,50000.000,89.00,0
1051,-2368.176,-10309.411,50000.000,50.00,-5132.294,-12147.176,50000.000,67.00,0
1101,-2383.117,-13215.470,50000.000,49.00,-5319.059,-10772.588,50000.000,70.00,0
1151,-1927.412,-13051.117,50000.000,47.00,-5050.117,-11833.411,50000.000,71.00,0
1201,-1509.059,-7724.588,50000.000,46.00,-4915.646,-12289.117,50000.000,59.00,0
1251,-1927.412,-1755.588,50000.000,55.00,-4347.882,-11392.646,50000.000,50.00,0
1301,-605.118,-2764.117,50000.000,42.00,-3302.000,-9861.176,50000.000,55.00,0
1351,-276.412,-5946.588,50000.000,36.00,-2599.765,-9330.764,50000.000,74.00,0
1401,1322.294,-6745.941,50000.000,29.00,-2510.117,-10488.705,50000.000,56.00,0
