timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
1721,22.412,-74.706,20000.000,160,0.000,-22.412,20000.000,160,0
1741,29.882,-82.176,20000.000,160,0.000,-14.941,20000.000,160,0
1761,22.412,-74.706,20000.000,160,0.000,-29.882,20000.000,160,0
1781,22.412,-59.765,20000.000,160,0.000,-22.412,20000.000,160,0
1801,22.412,-52.294,20000.000,160,0.000,-29.882,20000.000,160,0
1821,22.412,-67.235,20000.000,160,0.000,-22.412,20000.000,160,0
1841,22.412,-59.765,20000.000,160,7.471,-22.412,20000.000,160,0
1861,22.412,-52.294,20000.000,160,7.471,-22.412,20000.000,160,0
1881,7.471,-44.824,20000.000,160,0.000,-22.412,20000.000,160,0
1901,14.941,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
1921,14.941,-67.235,20000.000,160,7.471,-29.882,20000.000,160,0
1941,14.941,-52.294,20000.000,160,0.000,-29.882,20000.000,160,0
1961,7.471,-44.824,20000.000,160,7.471,-22.412,20000.000,160,0
1981,14.941,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
2001,22.412,-52.294,20000.000,160,0.000,-22.412,20000.000,160,0
2021,29.882,-74.706,20000.000,160,7.471,-22.412,20000.000,160,0
2041,22.412,-74.706,20000.000,160,14.941,-37.353,20000.000,160,0
2061,22.412,-74.706,20000.000,160,7.471,-29.882,20000.000,160,0
2081,14.941,-67.235,20000.000,160,7.471,-22.412,20000.000,160,0
2101,14.941,-67.235,20000.000,160,7.471,-14.941,20000.000,160,0
2121,14.941,-59.765,20000.000,160,7.471,-22.412,20000.000,160,0
2141,29.882,-59.765,20000.000,160,7.471,-22.412,20000.000,160,0
2161,37.353,-82.176,20000.000,160,7.471,-14.941,20000.000,160,0
2181,29.882,-67.235,20000.000,160,7.471,-7.471,20000.000,160,0
2201,22.412,-67.235,20000.000,160,7.471,-14.941,20000.000,160,0
2221,29.882,-59.765,20000.000,160,7.471,-22.412,20000.000,160,0
2241,22.412,-59.765,20000.000,160,7.471,-22.412,20000.000,160,0
2261,22.412,-44.824,20000.000,160,7.471,-22.412,20000.000,160,0
2281,22.412,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
2301,14.941,-67.235,20000.000,160,0.000,-14.941,20000.000,160,0
2321,14.941,-59.765,20000.000,160,0.000,-7.471,20000.000,160,0
