timestamp[ms],left_dx[um],left_dy[um],left_dt[us],minL44maxLright_dx[um],right_dy[um],right_dt[us],minR,maxR,waterPin
0,0.000,0.000,50155.000,7,98,0.000,0.000,50154.000,6,100,0
51,0.000,0.000,50000.000,7,98,0.000,0.000,50000.000,6,100,0
101,0.000,0.000,50000.000,6,99,0.000,0.000,50000.000,6,103,0
151,0.000,-7.471,50000.000,6,100,0.000,0.000,50000.000,6,103,0
201,0.000,0.000,50000.000,6,98,0.000,0.000,50000.000,4,105,0
251,7.471,-1688.353,50000.000,6,98,0.000,0.000,50000.000,6,103,0
301,0.000,-14.941,50000.000,6,98,0.000,0.000,50000.000,6,103,0
351,0.000,0.000,50000.000,7,104,0.000,0.000,50000.000,7,101,0
401,7.471,-7.471,50000.000,7,105,0.000,0.000,50000.000,7,101,0
451,0.000,-14.941,50000.000,8,106,0.000,0.000,50000.000,6,105,0
501,0.000,0.000,50000.000,7,105,0.000,0.000,50000.000,6,104,0
551,0.000,-14.941,50000.000,8,104,0.000,0.000,50000.000,6,104,0
601,0.000,-14.941,50000.000,8,103,0.000,-7.471,50000.000,8,106,0
651,0.000,0.000,50000.000,8,105,7.471,0.000,50000.000,8,103,0
701,0.000,-7.471,50000.000,8,106,0.000,-7.471,50000.000,8,103,0
751,7.471,-7.471,50000.000,7,110,0.000,0.000,50000.000,8,102,0
801,0.000,0.000,50000.000,8,106,7.471,0.000,50000.000,7,102,0
851,0.000,0.000,50000.000,8,106,7.471,0.000,50000.000,8,102,0
901,7.471,-7.471,50000.000,7,105,0.000,0.000,50000.000,5,101,0
951,7.471,-29.882,50000.000,8,102,0.000,0.000,50000.000,5,102,0
1001,7.471,-14.941,50000.000,8,106,0.000,0.000,50000.000,5,102,0
1051,0.000,0.000,50000.000,8,106,7.471,-7.471,50000.000,8,104,0
1101,7.471,-14.941,50000.000,7,104,0.000,0.000,50000.000,7,101,0
1151,7.471,0.000,50000.000,8,106,0.000,0.000,50000.000,8,99,0
1201,7.471,-7.471,50000.000,7,106,0.000,0.000,50000.000,9,100,0
1251,0.000,-7.471,50000.000,8,102,0.000,0.000,50000.000,9,101,0
1301,7.471,-7.471,50000.000,6,101,7.471,0.000,50000.000,5,99,0
1351,7.471,-7.471,50000.000,7,102,0.000,0.000,50000.000,5,99,0
1401,0.000,-7.471,50000.000,6,100,0.000,0.000,50000.000,6,97,0
1451,0.000,-7.471,50000.000,6,102,0.000,0.000,50000.000,6,97,0
1501,7.471,-7.471,50000.000,7,99,0.000,0.000,50000.000,5,97,0
1551,7.471,0.000,50000.000,8,99,7.471,0.000,50000.000,6,102,0
1601,0.000,0.000,50000.000,7,99,7.471,0.000,50000.000,9,103,0
1651,0.000,-7.471,50000.000,6,103,0.000,0.000,50000.000,9,102,0
1701,7.471,0.000,50000.000,7,100,0.000,0.000,50000.000,8,101,0
1751,0.000,0.000,50000.000,7,99,0.000,0.000,50000.000,8,102,0
1801,0.000,-1680.882,50000.000,7,101,0.000,0.000,50000.000,9,102,0
1851,0.000,-7.471,50000.000,7,101,0.000,0.000,50000.000,6,101,0
1901,0.000,-7.471,50000.000,7,101,0.000,0.000,50000.000,6,102,0
1951,0.000,0.000,50000.000,6,101,0.000,0.000,50000.000,6,102,0
2001,0.000,0.000,50000.000,8,105,0.000,0.000,50000.000,6,101,0
2051,7.471,0.000,50000.000,8,105,0.000,0.000,50000.000,6,99,0
2101,0.000,-7.471,50000.000,8,108,0.000,0.000,50000.000,6,99,0
2151,0.000,0.000,50000.000,8,106,0.000,0.000,50000.000,6,100,0
2201,0.000,0.000,50000.000,8,108,7.471,0.000,50000.000,6,99,0
2251,0.000,0.000,50000.000,8,106,0.000,0.000,50000.000,6,99,0
2301,0.000,-7.471,50000.000,8,104,0.000,0.000,50000.000,6,98,0
2351,7.471,-14.941,50000.000,8,101,7.471,0.000,50000.000,6,98,0
2401,7.471,0.000,50000.000,8,107,0.000,0.000,50000.000,6,101,0
2451,0.000,0.000,50000.000,8,108,0.000,0.000,50000.000,6,97,0
2501,7.471,-7.471,50000.000,8,107,0.000,0.000,50000.000,6,100,0
2551,7.471,-7.471,50000.000,7,107,0.000,0.000,50000.000,6,102,0
2601,0.000,0.000,50000.000,8,108,0.000,0.000,50000.000,6,102,0
2651,0.000,-14.941,50000.000,8,109,0.000,0.000,50000.000,5,100,0
2701,7.471,-7.471,50000.000,9,109,0.000,0.000,50000.000,6,101,0
2751,0.000,-7.471,50000.000,8,107,7.471,-7.471,50000.000,8,103,0
2801,14.941,-7.471,50000.000,8,109,7.471,0.000,50000.000,8,105,0
2851,0.000,0.000,50000.000,8,108,0.000,0.000,50000.000,8,102,0
2901,0.000,0.000,50000.000,7,102,0.000,0.000,50000.000,8,101,0
2951,0.000,0.000,50000.000,8,102,0.000,0.000,50000.000,5,102,0
3001,0.000,-7.471,50000.000,8,104,0.000,-7.471,50000.000,5,102,0
3051,0.000,-7.471,50000.000,8,102,7.471,0.000,50000.000,5,98,0
3101,0.000,-7.471,50000.000,7,99,0.000,0.000,50000.000,6,99,0
3151,0.000,0.000,50000.000,7,100,0.000,0.000,50000.000,6,103,0
3201,7.471,0.000,50000.000,7,101,0.000,0.000,50000.000,5,102,0
3251,7.471,0.000,50000.000,7,101,0.000,0.000,50000.000,8,99,0
3301,0.000,-7.471,50000.000,8,107,7.471,0.000,50000.000,8,101,0
3351,0.000,-7.471,50000.000,8,106,0.000,0.000,50000.000,9,101,0
3401,0.000,-7.471,50000.000,7,107,0.000,0.000,50000.000,8,103,0
