timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50155.000,42.00,14.941,-82.176,50156.000,63.00,0
51,6305.176,-4123.765,50000.000,45.00,2547.470,-13551.646,49999.000,69.00,0
101,6267.823,-4482.353,50000.000,38.00,2681.941,-14455.587,50000.000,46.00,0
151,5423.646,-2427.941,50000.000,40.00,2495.176,-12139.705,50001.000,29.00,0
201,4878.294,-485.588,50000.000,40.00,2420.470,-12445.999,49999.000,39.00,0
251,4624.294,-3048.000,50000.000,57.00,1755.588,-12050.058,50000.000,34.00,0
301,3488.764,-4945.529,50000.000,60.00,358.588,-10907.058,50001.000,61.00,0
351,3189.941,-4878.294,50000.000,44.00,254.000,-11063.940,49999.000,57.00,0
401,2173.941,-3727.823,50000.000,29.00,-620.059,-9487.646,50001.000,53.00,0
451,963.706,-2995.706,50000.000,61.00,-470.647,-6163.235,49999.000,67.00,0
501,-119.529,-3847.353,50000.000,37.00,-1553.882,-5700.059,50001.000,76.00,0
551,-381.000,-5363.882,50000.000,45.00,-1867.647,-5535.706,49999.000,38.00,0
601,-1210.235,-6663.764,50000.000,21.00,-2943.412,-6506.882,50000.000,51.00,0
651,-1128.059,-6021.294,50000.000,39.00,-2771.588,-6110.941,50000.000,49.00,0
701,-1471.706,-5281.706,50000.000,53.00,-2898.588,-6633.882,50000.000,52.00,0
751,-1524.000,-3720.353,50000.000,39.00,-3160.059,-7119.470,50000.000,58.00,0
801,-1434.353,-2614.706,50000.000,47.00,-3070.412,-8038.353,50000.000,33.00,0
851,-567.765,-2226.235,50000.000,73.00,-2808.941,-8635.999,50000.000,73.00,0
901,-926.353,-3451.412,50000.000,68.00,-2383.117,-6491.941,50000.000,50.00,0
951,-1516.529,-4773.706,50000.000,65.00,-3197.412,-8015.940,50001.000,86.00,0
1001,-791.882,-5602.941,50000.000,30.00,-3615.764,-9935.882,50000.000,49.00,0
1051,-358.588,-1979.706,50000.000,44.00,-2816.412,-8733.117,49999.000,75.00,0
1101,59.765,5782.235,50000.000,57.00,-500.529,-5647.764,50000.000,83.00,0
1151,1135.529,6506.882,50000.000,90.00,1247.588,-5341.470,50000.000,47.00,0
1201,2353.235,1172.882,50000.000,52.00,560.294,-6745.941,50000.000,74.00,0
1251,2779.059,-2293.470,50000.000,82.00,911.412,-7888.940,50000.000,70.00,0
1301,2853.764,-5468.470,50000.000,58.00,-22.412,-10331.823,50000.000,63.00,0
1351,2988.235,-3892.176,50000.000,62.00,-351.118,-10824.882,50001.000,47.00,0
1401,2614.706,22.412,50000.000,75.00,7.471,-9988.176,50000.000,47.00,0
1451,1680.882,2921.000,50000.000,87.00,268.941,-7485.529,49999.000,65.00,0
1501,1568.823,-448.235,50000.000,63.00,194.235,-6282.764,50001.000,59.00,0
1551,2054.412,-1030.941,50000.000,70.00,-239.059,-6230.470,49999.000,47.00,0
1601,2532.529,762.000,50000.000,93.00,1292.412,-5588.000,50000.000,56.00,0
1651,4303.059,1367.118,50000.000,81.00,2831.353,-4131.235,50000.000,68.00,0
1701,6066.117,2764.117,50000.000,100.00,5266.764,-2659.529,50000.000,68.00,0
1751,8523.940,2211.294,50000.000,86.00,6462.059,-6066.117,50001.000,62.00,0
1801,10421.470,-889.000,50000.000,77.00,6200.588,-9816.353,49999.000,51.00,0
1851,11676.528,-1994.647,50000.000,61.00,6589.059,-11459.882,50000.000,54.00,0
1901,12206.940,2465.294,50000.000,73.00,8441.764,-9510.059,50000.000,80.00,0
1951,12797.117,5177.117,50000.000,83.00,10518.588,-8807.823,50000.000,47.00,0
2001,15329.646,1270.000,50000.000,40.00,10727.764,-9592.234,50000.000,45.00,0
2051,15359.528,-1389.529,50000.000,71.00,11101.293,-8621.059,50000.000,63.00,0
2101,15718.116,-2442.882,50000.000,53.00,11758.705,-9375.588,50000.000,53.00,0
2151,17197.293,493.059,50000.000,40.00,13103.411,-9644.528,50001.000,47.00,0
2201,16853.646,6985.000,50000.000,78.00,14552.705,-8718.176,49999.000,67.00,0
2251,18123.646,5744.882,50000.000,76.00,13798.176,-10533.528,50001.000,57.00,0
2301,18713.822,829.235,50000.000,64.00,14373.411,-9801.411,49999.000,56.00,0
2351,18766.117,-2540.000,50000.000,98.00,14500.411,-8852.646,50000.000,48.00,0
2401,18713.822,-5752.353,50000.000,35.00,13267.764,-11168.528,50000.000,57.00,0
2451,19714.881,-3197.412,50000.000,66.00,13006.293,-12281.646,50000.000,38.00,0
2501,19692.469,2345.765,50000.000,74.00,14433.176,-12752.293,50001.000,55.00,0
2551,21089.469,1426.882,50000.000,72.00,14246.411,-12841.940,49999.000,44.00,0
2601,20349.881,-2472.765,50000.000,71.00,14365.940,-11467.353,50000.000,62.00,0
2651,19640.176,-4086.411,50000.000,63.00,13349.940,-11937.999,50001.000,50.00,0
2701,20297.586,-1284.941,50000.000,72.00,13260.293,-12916.646,50000.000,41.00,0
2751,19005.176,3556.000,50000.000,86.00,13170.646,-13110.882,49999.000,42.00,0
2801,19572.939,3070.412,50000.000,85.00,13902.764,-12147.176,50001.000,56.00,0
2851,18676.469,-298.824,50000.000,73.00,13745.882,-10653.058,49999.000,53.00,0
2901,19064.939,-2756.647,50000.000,54.00,13073.528,-11489.764,50000.000,64.00,0
2951,18534.527,-149.412,50000.000,78.00,12632.764,-11534.588,50001.000,45.00,0
3001,17436.352,5588.000,50000.000,60.00,12946.528,-11048.999,49999.000,69.00,0
3051,17854.705,6394.823,50000.000,73.00,13058.587,-11781.117,50000.000,60.00,0
3101,18960.352,859.118,50000.000,66.00,12782.176,-11549.528,50000.000,68.00,0
3151,18175.939,-3279.588,50000.000,65.00,11788.588,-12625.293,50000.000,60.00,0
3201,18340.293,-3817.470,50000.000,110.00,11153.588,-13977.470,50000.000,48.00,0
3251,17727.705,1830.294,50000.000,56.00,11377.705,-13439.587,50000.000,53.00,0
3301,17242.117,3630.706,50000.000,78.00,11280.588,-13648.764,50000.000,46.00,0
3351,17204.764,-791.882,50000.000,99.00,11310.470,-13178.117,50000.000,44.00,0
3401,16651.939,-3824.941,50000.000,80.00,10593.293,-14126.882,50000.000,72.00,0
3451,16465.176,-3294.529,50000.000,69.00,9920.940,-14971.058,50000.000,44.00,0
3501,15284.822,2442.882,50000.000,85.00,10018.059,-13805.646,50001.000,73.00,0
3551,15225.058,3608.294,50000.000,74.00,10324.353,-13574.058,49999.000,51.00,0
3601,15464.116,-2263.588,50000.000,90.00,9764.059,-13715.999,50000.000,73.00,0
3651,15023.352,-4474.882,50000.000,73.00,9554.882,-13357.411,50000.000,37.00,0
3701,14545.234,-754.529,50000.000,59.00,10010.588,-9726.705,50000.000,40.00,0
3751,12916.646,5677.646,50000.000,89.00,10892.117,-5408.706,50001.000,64.00,0
3801,13603.940,5647.764,50000.000,92.00,11198.411,-4885.764,49999.000,38.00,0
3851,14119.411,1748.118,50000.000,76.00,10892.117,-4586.941,50000.000,37.00,0
3901,12408.646,978.647,50000.000,90.00,11004.176,-2614.706,50001.000,58.00,0
3951,11078.882,-724.647,50000.000,79.00,10100.234,-141.941,49999.000,64.00,0
4001,10018.059,-1329.765,50000.000,62.00,9054.353,1919.941,50000.000,87.00,0
4051,8367.059,-717.176,50000.000,93.00,8508.999,3414.059,50000.000,62.00,0
4101,7500.470,-2442.882,50000.000,75.00,7283.823,3600.823,50000.000,66.00,0
4151,6723.529,-3040.529,50000.000,68.00,6006.353,2779.059,50001.000,39.00,0
4201,6215.529,-1994.647,50000.000,70.00,6006.353,1755.588,49999.000,22.00,0
4251,6081.059,-635.000,50000.000,53.00,5386.294,-575.235,50001.000,46.00,0
4301,5289.176,149.412,50000.000,61.00,4616.823,-1875.118,49999.000,77.00,0
4351,4019.176,-1165.412,50000.000,48.00,3264.647,-1770.529,50000.000,73.00,0
4401,3189.941,-1367.118,50000.000,53.00,1994.647,-1905.000,50001.000,44.00,0
4451,2510.117,1113.118,50000.000,45.00,2233.706,-1553.882,49999.000,38.00,0
4501,1837.765,2681.941,50000.000,63.00,2106.706,-1128.059,50000.000,54.00,0
4551,1135.529,1434.353,50000.000,59.00,1157.941,-343.647,50000.000,40.00,0
4601,522.941,1337.235,50000.000,34.00,791.882,1740.647,50000.000,37.00,0
4651,-403.412,3683.000,50000.000,40.00,1053.353,3608.294,50000.000,58.00,0
4701,-978.647,3645.647,50000.000,29.00,366.059,3556.000,50000.000,49.00,0
4751,-1763.059,1426.882,50000.000,65.00,-806.823,3839.882,50000.000,39.00,0
4801,-2390.588,-515.471,50000.000,43.00,-1501.588,4332.941,50000.000,41.00,0
4851,-2472.765,-1583.765,50000.000,47.00,-1494.118,3907.117,50000.000,23.00,0
4901,-1434.353,-2286.000,50000.000,40.00,-1299.882,1494.118,50000.000,28.00,0
4951,-784.412,-1471.706,50000.000,44.00,-1075.765,-829.235,50001.000,29.00,0
5001,-605.118,-829.235,50000.000,38.00,-1180.353,-2308.412,49999.000,27.00,0
5051,-590.176,-52.294,50000.000,50.00,-1075.765,-2764.117,50000.000,26.00,0
5101,-388.471,-687.294,50000.000,37.00,-1098.176,-3399.117,50000.000,33.00,0
5151,149.412,-1456.765,50000.000,32.00,-1172.882,-4474.882,50000.000,64.00,0
5201,724.647,-1195.294,50000.000,53.00,-709.706,-4601.882,50000.000,48.00,0
5251,463.176,455.706,50000.000,32.00,-605.118,-3436.470,50000.000,80.00,0
5301,-59.765,4594.412,50000.000,50.00,313.765,-889.000,50000.000,90.00,0
5351,-754.529,5042.646,50000.000,63.00,455.706,859.118,50001.000,44.00,0
5401,-1008.529,4699.000,50000.000,59.00,-246.529,2353.235,50000.000,62.00,0
5451,-1882.588,3817.470,50000.000,54.00,-246.529,3533.588,49999.000,41.00,0
5501,-2861.235,1837.765,50000.000,48.00,-1606.176,5207.000,50001.000,38.00,0
5551,-3443.941,881.529,50000.000,75.00,-2061.882,4220.882,49999.000,70.00,0
5601,-3369.235,-1090.706,50000.000,44.00,-3197.412,1255.059,50000.000,51.00,0
5651,-3570.941,-1441.823,50000.000,67.00,-3219.823,933.823,50000.000,61.00,0
5701,-3937.000,-1718.235,50000.000,68.00,-3593.353,1172.882,50000.000,44.00,0
5751,-4108.823,-2345.765,50000.000,47.00,-3854.823,799.353,50000.000,41.00,0
5801,-3884.706,-2398.059,50000.000,72.00,-3757.706,-119.529,50000.000,45.00,0
5851,-3436.470,-3518.647,50000.000,62.00,-3832.412,-1441.823,50001.000,42.00,0
5901,-2510.117,-4325.470,50000.000,41.00,-3727.823,-3287.059,49999.000,89.00,0
5951,-1270.000,-328.706,50000.000,67.00,-2084.294,-4191.000,50000.000,80.00,0
6001,-59.765,2136.588,50000.000,91.00,-373.529,-3922.059,50000.000,90.00,0
6051,-358.588,956.235,50000.000,77.00,-903.941,-3175.000,50000.000,71.00,0
6101,321.235,582.706,50000.000,66.00,-545.353,-3488.764,50000.000,79.00,0
6151,2129.117,2144.059,50000.000,67.00,1367.118,-5244.353,50001.000,76.00,0
6201,5431.117,4220.882,50000.000,77.00,3496.235,-8210.176,49999.000,63.00,0
6251,8232.588,4273.176,50000.000,75.00,5871.882,-9248.588,50000.000,78.00,0
6301,10578.353,1994.647,50000.000,54.00,7545.293,-9151.470,50001.000,84.00,0
6351,12901.705,-612.588,50000.000,59.00,8882.529,-11310.470,49999.000,59.00,0
6401,14687.176,-3227.294,50000.000,95.00,9315.823,-12169.588,50000.000,39.00,0
6451,14291.234,-4960.470,50000.000,63.00,9898.528,-8710.705,50000.000,79.00,0
6501,14328.587,-2965.823,50000.000,59.00,10227.234,-7754.470,50000.000,59.00,0
6551,13760.822,2532.529,50000.000,65.00,10735.234,-7717.117,50001.000,72.00,0
6601,14470.528,1225.176,50000.000,49.00,10951.882,-8352.117,49999.000,49.00,0
6651,14044.705,-2323.353,50000.000,69.00,10391.588,-5842.000,50000.000,63.00,0
6701,11960.411,-4855.882,50000.000,61.00,9920.940,-4863.353,50000.000,67.00,0
6751,11385.176,-5094.941,50000.000,47.00,7844.117,-8650.940,50000.000,47.00,0
6801,12483.353,-1292.412,50000.000,54.00,8068.235,-11161.058,50001.000,51.00,0
6851,12535.646,2547.470,50000.000,99.00,9114.117,-11392.646,49999.000,64.00,0
6901,14156.764,-2218.765,50000.000,52.00,9181.353,-11258.176,50000.000,38.00,0
6951,12371.293,-5662.706,50000.000,43.00,8389.470,-9547.411,50000.000,45.00,0
7001,10921.999,-5602.941,50000.000,56.00,7425.764,-8434.294,50000.000,61.00,0
7051,9427.882,-4228.353,50000.000,53.00,6327.588,-9046.882,50000.000,74.00,0
7101,9674.411,-3384.176,50000.000,79.00,5767.294,-10339.293,50000.000,49.00,0
7151,10040.470,-3130.176,50000.000,92.00,5520.764,-13103.411,50000.000,69.00,0
7201,10623.176,-3623.235,50000.000,94.00,5998.882,-12528.176,50000.000,50.00,0
7251,10018.059,-5117.353,50000.000,62.00,6028.764,-9883.588,50000.000,76.00,0
7301,9659.470,-5744.882,50000.000,72.00,5408.706,-10436.411,50000.000,47.00,0
7351,9592.234,-4669.117,50000.000,72.00,5057.588,-11355.293,50001.000,73.00,0
7401,8673.353,-739.588,50000.000,68.00,5505.823,-9801.411,49999.000,73.00,0
7451,8135.470,1740.647,50000.000,84.00,5177.117,-10025.528,50000.000,53.00,0
7501,8135.470,-694.765,50000.000,70.00,5498.353,-6723.529,50000.000,55.00,0
7551,6895.353,-2719.294,50000.000,51.00,5057.588,-3316.941,50000.000,66.00,0
7601,5431.117,-918.882,50000.000,74.00,4721.412,-978.647,50000.000,42.00,0
7651,3683.000,2711.823,50000.000,68.00,4056.529,2136.588,50000.000,63.00,0
7701,2898.588,5767.294,50000.000,83.00,4609.353,5154.706,50000.000,62.00,0
7751,2667.000,3339.353,50000.000,80.00,4213.412,5416.176,50001.000,81.00,0
7801,3279.588,59.765,50000.000,82.00,3040.529,1725.706,50000.000,61.00,0
7851,3204.882,717.176,50000.000,76.00,2883.647,29.882,49999.000,68.00,0
7901,2562.412,776.941,50000.000,69.00,2517.588,-119.529,50001.000,75.00,0
7951,2457.823,-448.235,50000.000,74.00,1897.529,-709.706,49999.000,52.00,0
8001,1942.353,-1524.000,50000.000,69.00,1598.706,-657.412,50000.000,75.00,0
8051,1897.529,-3391.647,50000.000,83.00,1135.529,-1673.412,50000.000,63.00,0
8101,2211.294,-5550.646,50000.000,85.00,754.529,-3548.529,50000.000,63.00,0
8151,2517.588,-6940.176,50000.000,43.00,52.294,-5199.529,50001.000,66.00,0
8201,2046.941,-4213.412,50000.000,60.00,-276.412,-5065.059,49999.000,44.00,0
8251,1068.294,7.471,50000.000,71.00,612.588,-2375.647,50001.000,47.00,0
8301,-254.000,321.235,50000.000,62.00,-261.471,-1045.882,50000.000,63.00,0
8351,-791.882,-1411.941,50000.000,92.00,-1038.412,-2129.117,49999.000,70.00,0
8401,-724.647,-4407.647,50000.000,44.00,-2278.529,-4997.823,50001.000,50.00,0
8451,-620.059,-3473.823,50000.000,56.00,-2196.353,-5169.646,49999.000,59.00,0
8501,-395.941,-134.471,50000.000,48.00,-1202.765,-3630.706,50000.000,52.00,0
8551,1016.000,3638.176,50000.000,86.00,515.471,-4355.353,50001.000,55.00,0
8601,2771.588,4056.529,50000.000,93.00,1456.765,-7694.706,49999.000,48.00,0
8651,3884.706,1016.000,50000.000,65.00,1143.000,-9816.353,50000.000,76.00,0
8701,4893.235,-2323.353,50000.000,69.00,1083.235,-12057.528,50000.000,54.00,0
8751,6118.411,-866.588,50000.000,70.00,2823.882,-11220.823,50001.000,39.00,0
8801,5804.646,5341.470,50000.000,99.00,4026.647,-7627.470,49999.000,54.00,0
8851,7126.941,4893.235,50000.000,62.00,4878.294,-9532.470,50000.000,60.00,0
8901,8023.411,-2764.117,50000.000,72.00,3399.117,-12363.822,50000.000,83.00,0
8951,7186.706,-5871.882,50000.000,66.00,2965.823,-14104.470,50001.000,36.00,0
9001,6641.353,-4019.176,50000.000,52.00,2300.941,-12162.117,49999.000,39.00,0
9051,5393.764,358.588,50000.000,54.00,3010.647,-8030.882,50000.000,28.00,0
9101,4758.764,3705.412,50000.000,76.00,3443.941,-5020.235,50000.000,53.00,0
9151,5229.412,4474.882,50000.000,77.00,4213.412,-5729.941,50001.000,37.00,0
9201,7022.353,-298.824,50000.000,83.00,3854.823,-7507.940,49999.000,43.00,0
9251,6865.470,-4078.941,50000.000,82.00,3361.764,-8845.176,50000.000,41.00,0
9301,6058.646,-5879.353,50000.000,54.00,2390.588,-10511.117,50000.000,42.00,0
9351,5744.882,-5371.353,50000.000,48.00,2144.059,-11556.999,50001.000,33.00,0
9401,5177.117,-3092.823,50000.000,50.00,2084.294,-9756.588,49999.000,25.00,0
9451,3929.529,-1262.529,50000.000,67.00,1501.588,-8217.646,50001.000,56.00,0
9501,3974.353,-2017.059,50000.000,65.00,1912.470,-8464.176,50000.000,50.00,0
9551,3675.529,-4542.117,50000.000,51.00,620.059,-9524.999,49999.000,56.00,0
9601,3316.941,-5520.764,50000.000,62.00,0.000,-10264.588,50001.000,42.00,0
9651,3018.117,-5035.176,50000.000,54.00,-194.235,-9577.294,49999.000,43.00,0
9701,2114.176,-1979.706,50000.000,68.00,-119.529,-7351.058,50001.000,43.00,0
9751,1516.529,-44.824,50000.000,38.00,156.882,-5483.412,49999.000,39.00,0
9801,956.235,1389.529,50000.000,78.00,-268.941,-5035.176,50000.000,55.00,0
9851,627.529,7.471,50000.000,45.00,-298.824,-4676.588,50000.000,42.00,0
9901,-993.588,-679.823,50000.000,56.00,-1852.706,-2913.529,50000.000,50.00,0
9951,-2861.235,-381.000,50000.000,70.00,-2823.882,-1852.706,50000.000,61.00,0
10001,-3981.823,-1673.412,50000.000,44.00,-4430.059,-2353.235,50001.000,81.00,0
10051,-2898.588,-1606.176,50000.000,59.00,-3697.941,-5109.882,49999.000,77.00,0
10101,-545.353,-649.941,50000.000,40.00,-2652.059,-7478.058,50001.000,44.00,0
10151,-67.235,2876.176,50000.000,62.00,-993.588,-4878.294,50000.000,58.00,0
10201,642.471,4758.764,50000.000,93.00,679.823,-3839.882,49999.000,68.00,0
10251,2622.176,1016.000,50000.000,67.00,918.882,-6469.529,50001.000,52.00,0
10301,3810.000,-2681.941,50000.000,53.00,1210.235,-8187.764,49999.000,43.00,0
10351,5169.646,-3929.529,50000.000,40.00,2233.706,-8314.764,50000.000,46.00,0
10401,6036.235,-1068.294,50000.000,51.00,3429.000,-7896.411,50001.000,43.00,0
10451,6312.646,4362.823,50000.000,80.00,4953.000,-6462.059,49999.000,41.00,0
10501,7732.058,3996.764,50000.000,89.00,5774.764,-6663.764,50000.000,60.00,0
10551,9076.764,-1509.059,50000.000,49.00,5461.000,-8157.882,50001.000,69.00,0
10601,8845.176,-4788.647,50000.000,62.00,5132.294,-9637.059,49999.000,57.00,0
10651,9091.705,-6618.941,50000.000,38.00,4811.059,-9472.705,50001.000,41.00,0
10701,8381.999,-5789.706,50000.000,43.00,4788.647,-7440.706,50000.000,64.00,0
10751,8030.882,-1972.235,50000.000,43.00,5916.706,-5341.470,49999.000,73.00,0
10801,7829.176,1576.294,50000.000,53.00,6320.117,-4161.117,50001.000,85.00,0
10851,7806.764,3092.823,50000.000,67.00,6925.235,-2779.059,49999.000,78.00,0
10901,6237.941,1919.941,50000.000,63.00,6432.176,1665.941,50000.000,57.00,0
10951,4572.000,-104.588,50000.000,43.00,5177.117,2943.412,50000.000,19.00,0
11001,4205.941,-4362.823,50000.000,43.00,3720.353,-119.529,50000.000,54.00,0
11051,4303.059,-2816.412,50000.000,54.00,2577.353,530.412,50000.000,83.00,0
11101,2495.176,4706.470,50000.000,42.00,4303.059,5595.470,50000.000,26.00,0
11151,1912.470,4549.588,50000.000,36.00,4318.000,7881.470,50000.000,34.00,0
11201,1852.706,739.588,50000.000,44.00,2607.235,5610.412,50001.000,31.00,0
11251,1172.882,993.588,50000.000,54.00,1651.000,1120.588,49999.000,34.00,0
11301,791.882,22.412,50000.000,36.00,373.529,-1150.470,50001.000,38.00,0
11351,-119.529,-762.000,50000.000,33.00,-127.000,-418.353,49999.000,50.00,0
11401,-1068.294,-1792.941,50000.000,31.00,-1165.412,209.176,50001.000,34.00,0
11451,-1255.059,-1987.176,50000.000,24.00,-1524.000,-261.471,50000.000,28.00,0
11501,-1225.176,291.353,50000.000,37.00,-1284.941,694.765,49999.000,37.00,0
11551,-1748.118,2442.882,50000.000,40.00,-679.823,1382.059,50000.000,39.00,0
11601,-1471.706,3055.470,50000.000,60.00,-1270.000,-306.294,50001.000,27.00,0
11651,-1509.059,2413.000,50000.000,56.00,-1613.647,-2502.647,49999.000,32.00,0
11701,-2360.706,470.647,50000.000,88.00,-2577.353,-1456.765,50000.000,63.00,0
11751,-3399.117,-1195.294,50000.000,61.00,-2943.412,776.941,50001.000,52.00,0
11801,-3817.470,-2906.059,50000.000,58.00,-3578.412,1553.882,49999.000,55.00,0
11851,-3294.529,-1404.470,50000.000,52.00,-2906.059,874.059,50001.000,56.00,0
11901,-2898.588,52.294,50000.000,46.00,-2629.647,941.294,49999.000,50.00,0
11951,-3115.235,851.647,50000.000,64.00,-2427.941,1299.882,50000.000,46.00,0
12001,-3182.470,522.941,50000.000,47.00,-2950.882,784.412,50001.000,65.00,0
12051,-3287.059,1023.471,50000.000,72.00,-2823.882,-209.176,49999.000,71.00,0
12101,-3399.117,-829.235,50000.000,53.00,-3421.529,-986.118,50000.000,57.00,0
12151,-3989.294,-2218.765,50000.000,47.00,-4071.470,-926.353,50000.000,61.00,0
12201,-4138.706,-1464.235,50000.000,45.00,-3765.176,366.059,50000.000,74.00,0
12251,-4422.588,-1210.235,50000.000,53.00,-3899.647,1307.353,50001.000,61.00,0
12301,-4497.294,-508.000,50000.000,60.00,-3869.764,1441.823,49999.000,85.00,0
12351,-4355.353,-14.941,50000.000,56.00,-3929.529,1344.706,50000.000,78.00,0
12401,-4430.059,1307.353,50000.000,57.00,-3638.176,1374.588,50001.000,66.00,0
12451,-4796.117,582.706,50000.000,52.00,-3795.059,545.353,49999.000,75.00,0
12501,-4699.000,-2256.117,50000.000,44.00,-4908.176,-545.353,50001.000,65.00,0
12551,-4340.412,-575.235,50000.000,81.00,-3847.353,-328.706,49999.000,52.00,0
12601,-3533.588,635.000,50000.000,45.00,-2965.823,171.824,50000.000,70.00,0
12651,-3175.000,956.235,50000.000,49.00,-2734.235,717.176,50001.000,54.00,0
12701,-3033.059,1441.823,50000.000,63.00,-2203.823,829.235,49999.000,62.00,0
