timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
1621,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,42.00,0
1641,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,42.00,0
1661,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,49.00,0
1681,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,47.00,0
1701,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,47.00,0
1721,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,47.00,0
1741,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,42.00,0
1761,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,40.00,0
1781,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,40.00,0
1801,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,44.00,0
1821,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,43.00,0
1841,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,44.00,0
1861,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,44.00,0
1881,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,45.00,0
1901,0.000,0.000,20000.000,21.00,0.000,0.000,20000.000,44.00,0
1921,0.000,0.000,20000.000,21.00,0.000,0.000,20000.000,44.00,0
1941,0.000,0.000,20000.000,22.00,0.000,0.000,20000.000,42.00,0
1961,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,43.00,0
1981,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,44.00,0
2001,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,44.00,0
2021,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,43.00,0
2041,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,44.00,0
2061,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,44.00,0
2081,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,44.00,0
2101,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,41.00,0
2121,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,43.00,0
2141,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,43.00,0
2161,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,41.00,0
2181,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,44.00,0
2201,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,43.00,0
2221,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,43.00,0
2241,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,40.00,0
2261,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,40.00,0
2281,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,40.00,0
2301,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,49.00,0
2321,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,46.00,0
2341,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,45.00,0
2361,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,45.00,0
2381,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,48.00,0
2401,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,45.00,0
2421,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,45.00,0
2441,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,43.00,0
2461,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,46.00,0
2481,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,44.00,0
2501,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,44.00,0
2521,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,44.00,0
2541,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,46.00,0
2561,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,46.00,0
2581,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,46.00,0
2601,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,44.00,0
2621,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,45.00,0
2641,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,45.00,0
2661,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,44.00,0
2681,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,44.00,0
2701,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,47.00,0
2721,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,47.00,0
2741,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,42.00,0
2761,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,45.00,0
2781,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,47.00,0
2801,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,47.00,0
2821,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,44.00,0
2841,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,44.00,0
2861,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,44.00,0
2881,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,42.00,0
2901,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,46.00,0
2921,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,41.00,0
2941,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,41.00,0
