timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
1721,89.647,-164.353,1740311.000,0,0.000,0.000,1740307.000,0,0
1741,89.647,-164.353,1760311.000,0,0.000,0.000,1760307.000,0,0
1761,89.647,-164.353,1780311.000,0,0.000,0.000,1780307.000,0,0
1781,89.647,-164.353,1800310.000,0,0.000,0.000,1800307.000,0,0
1801,89.647,-164.353,1820310.000,0,0.000,0.000,1820306.000,0,0
1821,89.647,-164.353,1840309.000,0,0.000,0.000,1840305.000,0,0
1841,89.647,-164.353,1860309.000,0,0.000,0.000,1860305.000,0,0
1861,89.647,-164.353,1880309.000,0,0.000,0.000,1880305.000,0,0
1881,89.647,-164.353,1900309.000,0,0.000,0.000,1900305.000,0,0
1901,89.647,-164.353,1920309.000,0,0.000,0.000,1920305.000,0,0
1921,89.647,-164.353,1940309.000,0,0.000,0.000,1940305.000,0,0
1941,89.647,-164.353,1960309.000,0,0.000,0.000,1960305.000,0,0
1961,89.647,-164.353,1980309.000,0,0.000,0.000,1980305.000,0,0
1981,89.647,-164.353,2000309.000,0,0.000,0.000,2000305.000,0,0
2001,89.647,-164.353,2020309.000,0,0.000,0.000,2020305.000,0,0
2021,89.647,-164.353,2040309.000,0,0.000,0.000,2040305.000,0,0
2041,89.647,-164.353,2060309.000,0,0.000,0.000,2060305.000,0,0
2061,89.647,-164.353,2080309.000,0,0.000,0.000,2080305.000,0,0
2081,89.647,-164.353,2100309.000,0,0.000,0.000,2100305.000,0,0
2101,89.647,-164.353,2120309.000,0,0.000,0.000,2120305.000,0,0
2121,89.647,-164.353,2140309.000,0,0.000,0.000,2140305.000,0,0
2141,89.647,-164.353,2160309.000,0,0.000,0.000,2160305.000,0,0
2161,89.647,-164.353,2180309.000,0,0.000,0.000,2180305.000,0,0
2181,89.647,-164.353,2200309.000,0,0.000,0.000,2200305.000,0,0
2201,89.647,-164.353,2220309.000,0,0.000,0.000,2220305.000,0,0
2221,89.647,-164.353,2240309.000,0,0.000,0.000,2240305.000,0,0
2241,89.647,-164.353,2260309.000,0,0.000,0.000,2260305.000,0,0
2261,89.647,-164.353,2280309.000,0,0.000,0.000,2280305.000,0,0
2281,89.647,-164.353,2300309.000,0,0.000,0.000,2300305.000,0,0
2301,89.647,-164.353,2320309.000,0,0.000,0.000,2320305.000,0,0
2321,89.647,-164.353,2340309.000,0,0.000,0.000,2340305.000,0,0
2341,89.647,-164.353,2360309.000,0,0.000,0.000,2360305.000,0,0
2361,89.647,-164.353,2380309.000,0,0.000,0.000,2380305.000,0,0
2381,89.647,-164.353,2400309.000,0,0.000,0.000,2400305.000,0,0
2401,89.647,-164.353,2420309.000,0,0.000,0.000,2420305.000,0,0
2421,89.647,-164.353,2440309.000,0,0.000,0.000,2440305.000,0,0
2441,89.647,-164.353,2460309.000,0,0.000,0.000,2460305.000,0,0
2461,89.647,-164.353,2480309.000,0,0.000,0.000,2480305.000,0,0
2481,89.647,-164.353,2500309.000,0,0.000,0.000,2500305.000,0,0
2501,89.647,-164.353,2520309.000,0,0.000,0.000,2520305.000,0,0
2521,89.647,-164.353,2540309.000,0,0.000,0.000,2540305.000,0,0
2541,89.647,-164.353,2560309.000,0,0.000,0.000,2560305.000,0,0
2561,89.647,-164.353,2580309.000,0,0.000,0.000,2580305.000,0,0
2581,89.647,-164.353,2600309.000,0,0.000,0.000,2600305.000,0,0
2601,89.647,-164.353,2620309.000,0,0.000,0.000,2620305.000,0,0
2621,89.647,-164.353,2640309.000,0,0.000,0.000,2640305.000,0,0
2641,89.647,-164.353,2660309.000,0,0.000,0.000,2660305.000,0,0
2661,89.647,-164.353,2680309.000,0,0.000,0.000,2680305.000,0,0
2681,89.647,-164.353,2700309.000,0,0.000,0.000,2700305.000,0,0
2701,89.647,-164.353,2720309.000,0,0.000,0.000,2720305.000,0,0
2721,89.647,-164.353,2740309.000,0,0.000,0.000,2740305.000,0,0
2741,89.647,-164.353,2760309.000,0,0.000,0.000,2760305.000,0,0
2761,89.647,-164.353,2780309.000,0,0.000,0.000,2780305.000,0,0
2781,89.647,-164.353,2800309.000,0,0.000,0.000,2800305.000,0,0
2801,89.647,-164.353,2820309.000,0,0.000,0.000,2820305.000,0,0
2821,89.647,-164.353,2840309.000,0,0.000,0.000,2840305.000,0,0
2841,89.647,-164.353,2860309.000,0,0.000,0.000,2860305.000,0,0
2861,89.647,-164.353,2880309.000,0,0.000,0.000,2880305.000,0,0
2881,89.647,-164.353,2900309.000,0,0.000,0.000,2900305.000,0,0
2901,89.647,-164.353,2920309.000,0,0.000,0.000,2920305.000,0,0
2921,89.647,-164.353,2940309.000,0,0.000,0.000,2940305.000,0,0
2941,89.647,-164.353,2960309.000,0,0.000,0.000,2960305.000,0,0
2961,89.647,-164.353,2980309.000,0,0.000,0.000,2980305.000,0,0
2981,89.647,-164.353,3000309.000,0,0.000,0.000,3000305.000,0,0
3001,89.647,-164.353,3020309.000,0,0.000,0.000,3020305.000,0,0
3021,89.647,-164.353,3040309.000,0,0.000,0.000,3040305.000,0,0
3041,89.647,-164.353,3060309.000,0,0.000,0.000,3060305.000,0,0
3061,89.647,-164.353,3080309.000,0,0.000,0.000,3080305.000,0,0
3081,89.647,-164.353,3100309.000,0,0.000,0.000,3100305.000,0,0
3101,89.647,-164.353,3120309.000,0,0.000,0.000,3120305.000,0,0
3121,89.647,-164.353,3140309.000,0,0.000,0.000,3140305.000,0,0
3141,89.647,-164.353,3160309.000,0,0.000,0.000,3160305.000,0,0
3161,89.647,-164.353,3180309.000,0,0.000,0.000,3180305.000,0,0
3181,89.647,-164.353,3200309.000,0,0.000,0.000,3200305.000,0,0
3201,89.647,-164.353,3220309.000,0,0.000,0.000,3220305.000,0,0
3221,89.647,-164.353,3240309.000,0,0.000,0.000,3240305.000,0,0
3241,89.647,-164.353,3260309.000,0,0.000,0.000,3260305.000,0,0
3261,89.647,-164.353,3280309.000,0,0.000,0.000,3280305.000,0,0
3281,89.647,-164.353,3300309.000,0,0.000,0.000,3300305.000,0,0
3301,89.647,-164.353,3320309.000,0,0.000,0.000,3320305.000,0,0
3321,89.647,-164.353,3340309.000,0,0.000,0.000,3340305.000,0,0
3341,89.647,-164.353,3360309.000,0,0.000,0.000,3360305.000,0,0
3361,89.647,-164.353,3380309.000,0,0.000,0.000,3380305.000,0,0
3381,89.647,-164.353,3400309.000,0,0.000,0.000,3400305.000,0,0
3401,89.647,-164.353,3420309.000,0,0.000,0.000,3420305.000,0,0
3421,89.647,-164.353,3440309.000,0,0.000,0.000,3440305.000,0,0
3441,89.647,-164.353,3460309.000,0,0.000,0.000,3460305.000,0,0
3461,89.647,-164.353,3480309.000,0,0.000,0.000,3480305.000,0,0
3481,89.647,-164.353,3500309.000,0,0.000,0.000,3500305.000,0,0
3501,89.647,-164.353,3520309.000,0,0.000,0.000,3520305.000,0,0
3521,89.647,-164.353,3540309.000,0,0.000,0.000,3540305.000,0,0
3541,89.647,-164.353,3560309.000,0,0.000,0.000,3560305.000,0,0
3561,89.647,-164.353,3580309.000,0,0.000,0.000,3580305.000,0,0
3581,89.647,-164.353,3600309.000,0,0.000,0.000,3600305.000,0,0
3601,89.647,-164.353,3620309.000,0,0.000,0.000,3620305.000,0,0
3621,89.647,-164.353,3640309.000,0,0.000,0.000,3640305.000,0,0
3641,89.647,-164.353,3660309.000,0,0.000,0.000,3660305.000,0,0
3661,89.647,-164.353,3680309.000,0,0.000,0.000,3680305.000,0,0
3681,89.647,-164.353,3700309.000,0,0.000,0.000,3700305.000,0,0
3701,89.647,-164.353,3720309.000,0,0.000,0.000,3720305.000,0,0
3721,89.647,-164.353,3740309.000,0,0.000,0.000,3740305.000,0,0
3741,89.647,-164.353,3760309.000,0,0.000,0.000,3760305.000,0,0
3761,89.647,-164.353,3780309.000,0,0.000,0.000,3780305.000,0,0
3781,89.647,-164.353,3800309.000,0,0.000,0.000,3800305.000,0,0
3801,89.647,-164.353,3820309.000,0,0.000,0.000,3820305.000,0,0
3821,89.647,-164.353,3840309.000,0,0.000,0.000,3840305.000,0,0
3841,89.647,-164.353,3860309.000,0,0.000,0.000,3860305.000,0,0
3861,89.647,-164.353,3880309.000,0,0.000,0.000,3880305.000,0,0
3881,89.647,-164.353,3900309.000,0,0.000,0.000,3900305.000,0,0
3901,89.647,-164.353,3920309.000,0,0.000,0.000,3920305.000,0,0
3921,89.647,-164.353,3940309.000,0,0.000,0.000,3940305.000,0,0
3941,89.647,-164.353,3960309.000,0,0.000,0.000,3960305.000,0,0
3961,89.647,-164.353,3980309.000,0,0.000,0.000,3980305.000,0,0
3981,89.647,-164.353,4000309.000,0,0.000,0.000,4000305.000,0,0
