timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,7.471,-22.412,50157.000,77.00,0.000,-29.882,50153.000,70.00,0
51,1770.529,-4347.882,50000.000,89.00,-1053.353,-10018.059,50000.000,70.00,0
101,1322.294,-8262.470,50000.000,59.00,-1792.941,-8120.529,50000.000,66.00,0
151,1232.647,-10010.588,50000.000,71.00,-2510.117,-8449.234,50000.000,88.00,0
201,1016.000,-9876.117,50000.000,60.00,-2689.412,-9480.176,50000.000,72.00,0
251,724.647,-6813.176,50000.000,52.00,-3429.000,-11243.234,50000.000,42.00,0
301,986.118,-4362.823,50000.000,70.00,-2607.235,-12296.588,50000.000,71.00,0
351,1568.823,-7239.000,50000.000,47.00,-2002.118,-10488.705,50000.000,51.00,0
401,1157.941,-9696.823,50000.000,48.00,-1905.000,-10436.411,50000.000,49.00,0
451,1979.706,-9420.411,50000.000,48.00,-2599.765,-12431.058,50000.000,59.00,0
501,1270.000,-4699.000,50000.000,60.00,-2196.353,-13193.058,50000.000,47.00,0
551,1725.706,-4990.353,50000.000,60.00,-2465.294,-13424.646,50000.000,46.00,0
601,1008.529,-8501.529,50000.000,53.00,-2368.176,-11093.823,50000.000,70.00,0
651,612.588,-9375.588,50000.000,54.00,-2726.764,-10570.882,50000.000,64.00,0
701,179.294,-5812.117,50000.000,54.00,-3309.470,-10339.293,50000.000,62.00,0
751,-1695.823,-3152.588,50000.000,51.00,-3182.470,-7717.117,50000.000,77.00,0
801,-2420.470,-4527.176,50000.000,63.00,-4146.176,-8815.294,50000.000,82.00,0
851,-1770.529,-8837.705,50000.000,53.00,-4833.470,-10585.823,50000.000,59.00,0
901,-2271.059,-12632.764,50000.000,76.00,-5468.470,-12431.058,50000.000,67.00,0
951,-2271.059,-13073.528,50000.000,38.00,-5834.529,-12797.117,50000.000,53.00,0
1001,-3488.764,-9771.528,50000.000,54.00,-5677.646,-10630.646,50000.000,90.00,0
1051,-3421.529,-10503.646,50000.000,43.00,-6058.646,-10944.411,50000.000,55.00,0
1101,-4019.176,-13073.528,50000.000,46.00,-6529.293,-8807.823,50000.000,48.00,0
1151,-4542.117,-11893.176,50000.000,44.00,-6551.706,-7926.293,50000.000,49.00,0
1201,-5050.117,-7156.823,50000.000,43.00,-6663.764,-8441.764,50000.000,74.00,0
1251,-5416.176,-4669.117,50000.000,25.00,-6350.000,-8135.470,50000.000,39.00,0
1301,-5169.646,-6155.764,50000.000,37.00,-7029.823,-8494.059,50000.000,60.00,0
1351,-5812.117,-10152.528,50000.000,39.00,-7590.117,-7351.058,50000.000,23.00,0
1401,-6081.059,-11908.117,50000.000,43.00,-9016.999,-8053.293,50000.000,36.00,0
1451,-6618.941,-9405.470,50000.000,30.00,-9069.294,-7866.529,50000.000,27.00,0
1501,-6992.470,-6028.764,50000.000,50.00,-8882.529,-8030.882,50000.000,34.00,0
1551,-6940.176,-4594.412,50000.000,46.00,-8837.705,-8015.940,50000.000,31.00,0
1601,-5797.176,-4751.294,50000.000,47.00,-7739.529,-8344.646,50000.000,32.00,0
1651,-5401.235,-5961.529,50000.000,60.00,-7014.882,-7963.646,50000.000,12.00,0
1701,-4624.294,-8075.706,50000.000,46.00,-6716.059,-9562.353,50000.000,46.00,0
1751,-4706.470,-4826.000,50000.000,31.00,-7380.941,-12206.940,50000.000,36.00,0
1801,-4235.823,2226.235,50000.000,62.00,-5251.823,-10765.117,50000.000,52.00,0
1851,-3137.647,1815.353,50000.000,52.00,-4467.412,-10286.999,50000.000,68.00,0
1901,-2667.000,-3914.588,50000.000,50.00,-4519.706,-9950.823,50000.000,31.00,0
1951,-1628.588,-6760.882,50000.000,36.00,-5012.764,-12460.940,50000.000,83.00,0
2001,-1075.765,-2794.000,50000.000,32.00,-4131.235,-11683.999,50000.000,68.00,0
2051,-1135.529,3122.706,50000.000,62.00,-2569.882,-9285.940,50000.000,85.00,0
2101,134.471,2144.059,50000.000,53.00,-1075.765,-8240.059,50000.000,55.00,0
2151,1374.588,-2203.823,50000.000,48.00,-866.588,-7978.588,50000.000,40.00,0
2201,2196.353,-5080.000,50000.000,46.00,-664.882,-10600.764,50000.000,62.00,0
2251,2749.176,-3937.000,50000.000,41.00,-1232.647,-12886.764,50000.000,62.00,0
2301,2435.412,2315.882,50000.000,61.00,567.765,-10242.176,50000.000,60.00,0
2351,2644.588,3742.764,50000.000,71.00,1524.000,-8904.940,50000.000,61.00,0
2401,3458.882,-814.294,50000.000,42.00,1419.412,-7664.823,50000.000,71.00,0
2451,3481.294,-3443.941,50000.000,54.00,1524.000,-8710.705,50000.000,71.00,0
2501,4191.000,-4878.294,50000.000,29.00,1270.000,-10511.117,50000.000,75.00,0
2551,4504.764,-52.294,50000.000,35.00,2435.412,-7963.646,50000.000,73.00,0
2601,4370.294,5774.764,50000.000,31.00,3608.294,-5729.941,50000.000,60.00,0
2651,4482.353,3130.176,50000.000,48.00,3780.117,-3795.059,50000.000,74.00,0
2701,3003.176,-351.118,50000.000,41.00,2300.941,-1367.118,50000.000,66.00,0
2751,918.882,-769.471,50000.000,55.00,747.059,-433.294,50000.000,68.00,0
2801,231.588,-642.471,50000.000,31.00,-239.059,-1494.118,50000.000,66.00,0
2851,1426.882,-291.353,50000.000,47.00,821.765,-2629.647,50000.000,80.00,0
2901,3219.823,-246.529,50000.000,47.00,1792.941,-3660.588,50000.000,54.00,0
2951,4385.235,134.471,50000.000,60.00,3175.000,-3107.764,50000.000,67.00,0
3001,4945.529,-425.823,50000.000,26.00,4004.235,-2144.059,50000.000,71.00,0
3051,6021.294,-104.588,50000.000,59.00,5072.529,-2256.117,50000.000,71.00,0
3101,6372.411,-2241.176,50000.000,49.00,4400.176,-4878.294,50000.000,54.00,0
3151,7522.882,-3832.412,50000.000,38.00,4601.882,-5423.646,50000.000,58.00,0
3201,7485.529,-4684.059,50000.000,38.00,5393.764,-5147.235,50000.000,75.00,0
3251,9450.294,-3683.000,50000.000,30.00,5558.117,-8374.529,50000.000,31.00,0
3301,9577.294,1434.353,50000.000,44.00,7014.882,-8157.882,50000.000,61.00,0
3351,9741.646,4385.235,50000.000,60.00,7545.293,-8396.940,50000.000,54.00,0
3401,11041.528,508.000,50000.000,34.00,8374.529,-6327.588,50000.000,48.00,0
3451,10436.411,-956.235,50000.000,40.00,8643.470,-3100.294,50000.000,51.00,0
3501,10488.705,-149.412,50000.000,80.00,9031.940,-3055.470,50000.000,55.00,0
3551,11048.999,-1247.588,50000.000,45.00,9218.705,-4235.823,50000.000,95.00,0
3601,11990.293,-2599.765,50000.000,17.00,9285.940,-5782.235,50000.000,40.00,0
3651,12431.058,0.000,50000.000,41.00,10563.411,-4586.941,50000.000,59.00,0
3701,12042.588,545.353,50000.000,34.00,10690.411,-3115.235,50000.000,59.00,0
3751,11161.058,-3376.706,50000.000,38.00,9270.999,-4146.176,50000.000,67.00,0
3801,10944.411,-8591.176,50000.000,43.00,7231.529,-7336.117,50000.000,45.00,0
3851,10585.823,-10376.646,50000.000,32.00,7358.529,-6925.235,50000.000,74.00,0
3901,10354.234,-9816.353,50000.000,49.00,6798.235,-8710.705,50000.000,79.00,0
3951,11048.999,-6320.117,50000.000,56.00,6798.235,-13125.822,50000.000,47.00,0
4001,11258.176,-5498.353,50000.000,54.00,6865.470,-13618.882,50000.000,65.00,0
4051,10966.823,-6678.706,50000.000,67.00,6387.353,-10705.353,50000.000,66.00,0
4101,11355.293,-8337.176,50000.000,56.00,6394.823,-11616.764,50000.000,77.00,0
4151,11071.411,-6409.764,50000.000,64.00,6043.706,-13857.940,50000.000,72.00,0
4201,10907.058,-2794.000,50000.000,81.00,6872.941,-15628.470,50000.000,57.00,0
4251,11026.588,-4228.353,50000.000,63.00,6096.000,-14971.058,50000.000,73.00,0
4301,10339.293,-7104.529,50000.000,57.00,5461.000,-14380.882,50000.000,48.00,0
4351,10361.705,-8172.823,50000.000,43.00,5072.529,-15486.528,50000.000,58.00,0
4401,9136.528,-3175.000,50000.000,82.00,4579.470,-15845.116,50000.000,43.00,0
4451,9293.411,-2420.470,50000.000,94.00,4497.294,-15830.176,50000.000,35.00,0
4501,8979.646,-7298.764,50000.000,60.00,3907.117,-14731.999,50000.000,59.00,0
4551,9054.353,-8635.999,50000.000,40.00,4176.059,-14455.587,50000.000,46.00,0
4601,8464.176,-4034.117,50000.000,37.00,3765.176,-13984.940,50000.000,52.00,0
4651,7881.470,-530.412,50000.000,80.00,4026.647,-14149.293,50000.000,49.00,0
4701,8606.117,-3780.117,50000.000,47.00,4280.647,-12595.411,50000.000,78.00,0
4751,8128.000,-6163.235,50000.000,52.00,4392.706,-12759.764,50000.000,77.00,0
4801,8785.411,-5625.353,50000.000,35.00,3660.588,-14776.822,50000.000,64.00,0
4851,7888.940,-164.353,50000.000,90.00,3951.941,-15606.058,50000.000,68.00,0
4901,8486.588,-1038.412,50000.000,48.00,4220.882,-14799.234,50000.000,83.00,0
4951,6447.117,-2368.176,50000.000,64.00,3070.412,-10130.117,50000.000,70.00,0
5001,4213.412,-321.235,50000.000,62.00,2532.529,-6118.411,50000.000,85.00,0
5051,1792.941,881.529,50000.000,38.00,1038.412,-3399.117,50000.000,86.00,0
5101,1673.412,1494.118,50000.000,73.00,1195.294,-3496.235,50000.000,55.00,0
5151,3062.941,1001.059,50000.000,63.00,1568.823,-7575.176,50000.000,74.00,0
5201,4982.882,1792.941,50000.000,58.00,2263.588,-10279.528,50000.000,73.00,0
5251,4967.941,388.471,50000.000,88.00,2704.353,-12266.705,50000.000,54.00,0
5301,5998.882,-4699.000,50000.000,42.00,1710.765,-15366.999,50000.000,74.00,0
5351,6798.235,-4773.706,50000.000,53.00,2084.294,-15389.411,50000.000,69.00,0
5401,5819.588,874.059,50000.000,71.00,3511.176,-12699.999,50000.000,67.00,0
