1,1,1,0,0,0
49999,49999,1,0,0,0
99999,99999,1,0,0,0
149999,149999,1,0,0,0
199999,199999,1,0,0,0
249999,249999,1,0,0,0
299999,299999,1,0,0,0
349999,349999,1,0,0,0
399999,399999,1,0,0,0
449999,449999,1,0,0,0
499999,499999,1,0,0,0
549999,549999,1,0,0,0
599999,599999,1,0,0,0
649999,649999,1,0,0,0
699999,699999,1,0,0,0
749999,749999,1,0,0,0
799999,799999,1,0,0,0
849999,849999,1,0,0,0
899999,899999,1,0,0,0
949999,949999,1,0,0,0
999999,999999,1,0,0,0
1049999,1049999,1,0,0,0
1099999,1099999,1,0,0,0
1149999,1149999,1,0,0,0
1199999,1199999,1,0,0,0
1249999,1249999,1,0,0,0
1299999,1299999,1,0,0,0
1349999,1349999,1,0,0,0
1399999,1399999,1,0,0,0
1449999,1449999,1,0,0,0
1499999,1499999,1,0,0,0
1549999,1549999,1,0,0,0
1599999,1599999,1,0,0,0
1649999,1649999,1,0,0,0
1699999,1699999,1,0,0,0
1749999,1749999,1,0,0,0
1799999,1799999,1,0,0,0
1849999,1849999,1,0,0,0
1899999,1899999,1,0,0,0
1949999,1949999,1,0,0,0
1999999,1999999,1,0,0,0
2049999,2049999,1,0,0,0
2099999,2099999,1,0,0,0
2149999,2149999,1,0,0,0
2199999,2199999,1,0,0,0
2249999,2249999,1,0,0,0
2299999,2299999,1,0,0,0
2349999,2349999,1,0,0,0
2399999,2399999,1,0,0,0
2449999,2449999,1,0,0,0
2499999,2499999,1,0,0,0
2549999,2549999,1,0,0,0
2599999,2599999,1,0,0,0
2649999,2649999,1,0,0,0
2700006,2700006,1,0,0,0
2749999,2749999,1,0,0,0
2799999,2799999,1,0,0,0
2849999,2849999,1,0,0,0
2899999,2899999,1,0,0,0
2949999,2949999,1,0,0,0
2999999,2999999,1,0,0,0
3049999,3049999,1,0,0,0
3099999,3099999,1,0,0,0
3149999,3149999,1,0,0,0
3199999,3199999,1,0,0,0
3249999,3249999,1,0,0,0
3299999,3299999,1,0,0,0
3349999,3349999,1,0,0,0
3399999,3399999,1,0,0,0
3449999,3449999,1,0,0,0
3499999,3499999,1,0,0,0
3549999,3549999,1,0,0,0
3599999,3599999,1,0,0,0
3649999,3649999,1,0,0,0
3699999,3699999,1,0,0,0
3749999,3749999,1,0,0,0
3799999,3799999,1,0,0,0
3849999,3849999,1,0,0,0
3899999,3899999,1,0,0,0
3949999,3949999,1,0,0,0
3999999,3999999,1,0,0,0
4049999,4049999,1,0,0,0
4099999,4099999,1,0,0,0
4149999,4149999,1,0,0,0
