timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,0.000,0.000,50160.000,-37.353,-7.471,50155.000
50643,-11034.058,3384.176,50000.000,-14388.352,-3996.764,49999.000
100821,-10219.764,3294.529,50000.000,-15845.116,-4721.412,50001.000
150818,-10847.293,4064.000,50000.000,-17257.059,-7082.117,49999.000
200814,-10989.234,3339.353,50000.000,-17892.057,-6058.646,50001.000
250815,-12752.293,612.588,50000.000,-15703.176,-3212.353,49999.000
300816,-11825.940,-993.588,50000.000,-13521.764,-2472.765,50000.000
350799,-8202.705,-119.529,50000.000,-11556.999,-1509.059,50000.000
400790,-5625.353,388.471,50000.000,-8882.529,1942.353,50001.000
450793,-3473.823,186.765,50000.000,-5722.470,2599.765,50000.000
500780,-1479.176,963.706,50000.000,-1927.412,2218.765,50000.000
550777,2577.353,1135.529,50000.000,2203.823,3922.059,50000.000
600779,5782.235,1456.765,50000.000,4586.941,4392.706,50000.000
650773,7418.293,1740.647,50000.000,7410.823,2099.235,50000.000
700780,9793.940,291.353,50000.000,10869.705,657.412,49999.000
750792,12109.822,52.294,50000.000,13454.528,2405.529,50001.000
800801,13730.940,-1837.765,50000.000,18273.057,2465.294,50000.000
850792,12408.646,-3033.059,50000.000,23532.352,829.235,49999.000
900811,15366.999,-2525.059,50000.000,23719.115,3070.412,50000.000
950794,21619.881,-3003.176,50000.000,26647.586,4706.470,50001.000
1000806,22807.705,-6462.059,50000.000,28746.822,724.647,49999.000
1050814,16278.411,-7097.058,50000.000,29015.764,-343.647,50000.000
1100795,21276.234,-8381.999,50000.000,26079.822,1240.118,50001.000
1150817,18235.705,-9532.470,50000.000,26072.352,1165.412,49999.000
1200816,15239.999,-9114.117,50000.000,23121.469,1688.353,50000.000
1250801,17107.646,-2188.882,50000.000,19102.293,3018.117,50001.000
1300815,13798.176,4400.176,50000.000,13641.293,2898.588,50000.000
1350796,9457.764,-1516.529,50000.000,11534.588,-769.471,50000.000
1400781,8815.294,-2689.412,50000.000,10092.764,-448.235,49999.000
1450806,8008.470,-4736.353,50000.000,10212.293,-1359.647,50000.000
1500787,5132.294,-4459.941,50000.000,9143.999,-1419.412,50001.000
1550803,5080.000,-2823.882,50000.000,6402.293,478.118,49999.000
1600797,3585.882,-1905.000,50000.000,4078.941,627.529,50000.000
1650774,1538.941,-1509.059,50000.000,2652.059,-1299.882,50001.000
1700802,1008.529,-1837.765,50000.000,2069.353,-1359.647,50000.000
1750783,739.588,-2353.235,50000.000,1546.412,-1284.941,49999.000
1800812,-567.765,-3018.117,50000.000,739.588,-2315.882,50001.000
1850800,-1404.470,-3309.470,50000.000,44.824,-2764.117,50000.000
1900778,-2002.118,-2689.412,50000.000,-1195.294,-2480.235,50000.000
1950789,-2659.529,-1770.529,50000.000,-2039.470,-1905.000,49999.000
2000811,-3399.117,-1195.294,50000.000,-3010.647,-2121.647,50000.000
2050791,-4078.941,-1598.706,50000.000,-3466.353,-2338.294,50001.000
2100799,-3735.294,-2973.294,50000.000,-2995.706,-1651.000,50000.000
2150786,-3541.059,-5715.000,50000.000,-2256.117,-896.471,49999.000
2200804,-3996.764,-6768.353,50000.000,-2286.000,-351.118,50000.000
2250787,-4295.588,-1404.470,50000.000,-4138.706,-2129.117,50001.000
2300806,-4900.706,2457.823,50000.000,-4497.294,-4131.235,49999.000
2350807,-1643.529,-388.471,50000.000,-1068.294,-2569.882,50000.000
2400789,-425.823,-1987.176,50000.000,-321.235,-821.765,50001.000
2450797,-2061.882,-2861.235,50000.000,-1016.000,-1314.823,50000.000
2500795,-3757.706,-5124.823,50000.000,-2091.765,-2547.470,49999.000
2550811,-3242.235,-4056.529,50000.000,-1987.176,-2487.706,50000.000
2600795,-1292.412,-2061.882,50000.000,-769.471,-1232.647,50001.000
2650800,-612.588,-1143.000,50000.000,-381.000,-478.118,49999.000
2700795,-1038.412,-2173.941,50000.000,-635.000,-694.765,50000.000
2750772,-2338.294,-3772.647,50000.000,-1195.294,-582.706,50001.000
2800800,-3675.529,-5767.294,50000.000,-1919.941,-717.176,50000.000
2850791,-3944.470,-6208.059,50000.000,-1942.353,-762.000,49999.000
2900800,-3092.823,-4900.706,50000.000,-1695.823,-1172.882,50000.000
2950788,-1397.000,-2779.059,50000.000,-926.353,-1180.353,50000.000
3000778,-1778.000,-3638.176,50000.000,-1045.882,-1770.529,50001.000
3050803,-2599.765,-3862.294,50000.000,-1382.059,-1561.353,49999.000
3100807,-2517.588,-4318.000,50000.000,-1703.294,-1180.353,50000.000
3150786,-1755.588,-2510.117,50000.000,-1016.000,-1090.706,50001.000
3200799,-44.824,-515.471,50000.000,82.176,-1464.235,49999.000
3250778,-455.706,-986.118,50000.000,-37.353,-1830.294,50001.000
3300767,-1359.647,-2831.353,50000.000,-874.059,-1501.588,49999.000
3350803,-2749.176,-3922.059,50000.000,-1576.294,-799.353,50001.000
3400802,-1299.882,-1733.176,50000.000,-776.941,-216.647,49999.000
