timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
3506835,-455.706,-171.824,50126.000,-1.992,-1.992,50126.000,t=3.9098401069
3556970,-59.765,-171.824,50132.000,-1.992,-1.992,50133.000,t=3.9599599838
3607091,-74.706,-29.882,50129.000,-1.992,-1.992,50128.000,t=4.0100798606
3657214,-194.235,14.941,50127.000,-1.992,-1.992,50127.000,t=4.0601959228
3707359,-313.765,433.294,50125.000,-1.992,-1.992,50126.000,t=4.1103038787
3757484,-29.882,194.235,772.000,-1.992,-1.992,1379.000,t=4.1604242324
3758846,0.000,0.000,49349.000,-1.992,-1.992,48741.000,t=4.2105278968
3807468,14.941,82.176,50129.000,-1.992,-1.992,50129.000,t=4.2606401443
3857716,-5759.823,37.353,50122.000,-1.992,-1.992,50122.000,t=4.3107519149
3907857,37.353,276.412,50127.000,-1.992,-1.992,50128.000,t=4.3608641624
3957972,381.000,470.647,50122.000,-1.992,-1.992,50121.000,t=4.4109878540
4008097,537.882,343.647,50130.000,-1.992,-1.992,50131.000,t=4.4611120223
4058236,52.294,141.941,773.000,-1.992,-1.992,1383.000,t=4.5112280845
4059595,7.471,0.000,49363.000,-1.992,-1.992,48752.000,t=4.5613398551
4108273,59.765,-1815.353,50133.000,-1.992,-1.992,50134.000,t=4.6114521026
4158500,-261.471,-261.471,769.000,-1.992,-1.992,1381.000,t=4.6615719795
4159861,-7.471,-7.471,49361.000,-1.992,-1.992,48750.000,t=4.7116918563
4208572,-149.412,-74.706,50130.000,-1.992,-1.992,50128.000,t=4.7618041038
4258752,0.000,-7.471,50127.000,-1.992,-1.992,50128.000,t=4.8119201660
4308794,104.588,201.706,675.000,-1.992,-1.992,1380.000,t=4.8620400428
4310239,0.000,0.000,49453.000,-1.992,-1.992,48747.000,t=4.9121518135
4358884,149.412,-37.353,638.000,-1.992,-1.992,1380.000,t=4.9622597694
4360381,0.000,0.000,49491.000,-1.992,-1.992,48750.000,t=5.0123720169
4408996,-104.588,-276.412,50132.000,-1.992,-1.992,50131.000,t=5.0624799728
4459275,-2046.941,1673.412,767.000,-1.992,-1.992,1380.000,t=5.1125922203
4460658,0.000,0.000,49367.000,-1.992,-1.992,48755.000,t=5.1627001762
4509276,-194.235,0.000,50133.000,-1.992,-1.992,50132.000,t=5.2128038406
4559475,119.529,201.706,50129.000,-1.992,-1.992,50131.000,t=5.2629241943
4609667,328.706,246.529,50126.000,-1.992,-1.992,50124.000,t=5.3130440711
4659790,201.706,149.412,761.000,-1.992,-1.992,1380.000,t=5.3631639480
4661158,7.471,7.471,49360.000,-1.992,-1.992,48742.000,t=5.4132719039
4709872,5969.000,-239.059,50126.000,-1.992,-1.992,50126.000,t=5.4633917808
4760053,-276.412,-97.118,50126.000,-1.992,-1.992,50127.000,t=5.5135040283
4810171,-171.824,-97.118,50126.000,-1.992,-1.992,50124.000,t=5.5636239051
4860291,0.000,0.000,50139.000,-1.992,-1.992,50139.000,t=5.6137399673
4910301,-67.235,37.353,50137.000,-1.992,-1.992,50138.000,t=5.6638560295
4960566,-291.353,7.471,50133.000,-1.992,-1.992,50132.000,t=5.7139678001
5010676,-224.118,-119.529,50126.000,-1.992,-1.992,50126.000,t=5.7640800476
5060839,-112.059,0.000,50128.000,-1.992,-1.992,50128.000,t=5.8141841888
5110885,-104.588,-194.235,50133.000,-1.992,-1.992,50134.000,t=5.8642959594
5161100,-44.824,-104.588,50135.000,-1.992,-1.992,50135.000,t=5.9144082069
5211229,171.824,306.294,50128.000,-1.992,-1.992,50127.000,t=5.9645199775
5261354,82.176,485.588,766.000,-1.992,-1.992,1382.000,t=6.0146279335
5262722,0.000,0.000,49364.000,-1.992,-1.992,48748.000,t=6.0647478103
