timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
4350566,0.000,0.000,50000.000,-13409.705,-1643.529,50000.000
4400645,0.000,0.000,50000.000,0.000,-209.176,50000.000
4450560,0.000,0.000,50000.000,13409.705,-164.353,50000.000
4500635,0.000,0.000,50000.000,-59.765,-239.059,50000.000
4550619,0.000,0.000,50000.000,-14.941,-239.059,50000.000
4600622,13387.293,0.000,50000.000,-186.765,-545.353,50000.000
4650704,-7.471,0.000,50000.000,67.235,-2554.941,50000.000
4700669,-13394.764,0.000,50000.000,336.176,59.765,50000.000
4750700,13387.293,0.000,50000.000,82.176,14.941,50000.000
4800695,-13394.764,0.000,50000.000,127.000,7.471,50000.000
4850679,0.000,0.000,50000.000,112.059,7.471,50000.000
4900597,-13394.764,0.000,50000.000,156.882,7.471,50000.000
4950682,13387.293,0.000,50000.000,5767.294,1434.353,50000.000
5000712,-7.471,0.000,50000.000,-14.941,-1090.706,50000.000
5050668,-13394.764,0.000,50000.000,-89.647,-134.471,50000.000
5100701,0.000,0.000,50000.000,-52.294,-179.294,50000.000
5150627,0.000,0.000,50000.000,-44.824,1008.529,50000.000
5200623,0.000,0.000,50000.000,-283.882,74.706,50000.000
5250619,0.000,0.000,50000.000,-141.941,82.176,50000.000
5300624,0.000,0.000,50000.000,-134.471,104.588,50000.000
5350623,0.000,0.000,50000.000,-141.941,97.118,50000.000
5400621,0.000,0.000,50000.000,-134.471,112.059,50000.000
5450620,0.000,0.000,50000.000,-149.412,104.588,50000.000
5500626,0.000,0.000,50000.000,-141.941,104.588,50000.000
5550628,0.000,0.000,50000.000,-141.941,104.588,50000.000
5600629,0.000,0.000,50000.000,-127.000,82.176,50000.000
5650622,0.000,0.000,50000.000,-97.118,22.412,50000.000
5700613,0.000,0.000,50000.000,-37.353,0.000,50000.000
5750554,-7.471,0.000,50000.000,-13394.764,0.000,50000.000
5800615,291.353,239.059,50000.000,0.000,0.000,50000.000
5850621,104.588,239.059,50000.000,0.000,0.000,50000.000
5900622,-261.471,44.824,50000.000,0.000,0.000,50000.000
5950617,-605.118,-366.059,50000.000,0.000,0.000,50000.000
6000622,246.529,-784.412,50000.000,0.000,0.000,50000.000
6050624,52.294,911.412,50000.000,0.000,0.000,50000.000
6100621,-119.529,1591.235,50000.000,0.000,0.000,50000.000
6150636,171.824,918.882,50000.000,0.000,0.000,50000.000
6200626,59.765,44.824,50000.000,0.000,0.000,50000.000
